"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Amuzu","South East","Imo","Aboh Mbaise","Amuzu","","0","113","67","20","22","0","0","46","47","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","41","24","10","11","0","0","17","14","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ibeku","South East","Imo","Aboh Mbaise","Ibeku","","0","69","40","15","16","0","0","29","25","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Aku","South East","Imo","Okigwe","Aku","","0","33","21","10","5","5","0","12","11","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","94","51","15","10","5","0","43","36","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","38","21","10","5","5","0","17","11","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","41","24","10","5","5","0","17","14","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","31","19","10","5","5","0","12","9","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Agbala/Obube/Ulakwo","South East","Imo","Owerri North","Agbala/Obube/Ulakwo","","0","72","42","15","10","5","0","30","27","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","46","27","10","5","5","0","19","17","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Avu/Oforola","South East","Imo","Owerri West","Avu/Oforola","","0","79","45","15","16","0","0","34","30","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Emeabiam/Okolochi","South East","Imo","Owerri West","Emeabiam/Okolochi","","0","64","35","16","11","5","0","29","19","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Amuzu","South East","Imo","Aboh Mbaise","Amuzu","","0","20","13","5","5","0","0","7","8","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","58","35","15","10","5","0","23","20","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ibeku","South East","Imo","Aboh Mbaise","Ibeku","","0","45","27","10","10","0","0","18","17","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Agbobu","South East","Imo","Okigwe","Agbobu","","0","66","40","15","16","0","0","26","25","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Aku","South East","Imo","Okigwe","Aku","","0","89","51","20","21","0","0","38","31","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","46","24","10","5","5","0","22","14","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","71","37","10","10","0","0","34","27","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","79","48","21","16","5","0","31","27","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","81","49","21","16","5","0","32","28","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Agbala/Obube/Ulakwo","South East","Imo","Owerri North","Agbala/Obube/Ulakwo","","0","58","37","15","16","0","0","21","22","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Awaka/Ihitte-Ogada","South East","Imo","Owerri North","Awaka/Ihitte-Ogada","","0","102","61","25","21","5","0","41","36","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Egbu","South East","Imo","Owerri North","Egbu","","0","43","24","5","5","0","0","19","19","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","28","16","5","5","0","0","12","11","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","31","19","5","5","0","0","12","14","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Agbobu","South East","Imo","Okigwe","Agbobu","","0","84","51","15","16","0","0","33","36","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","31","19","5","5","0","0","12","14","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","46","30","16","11","5","0","16","14","5"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","46","24","10","5","5","0","22","14","5"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","61","38","16","16","0","0","23","22","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Awaka/Ihitte-Ogada","South East","Imo","Owerri North","Awaka/Ihitte-Ogada","","0","31","19","5","5","0","0","12","14","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Egbu","South East","Imo","Owerri North","Egbu","","0","110","61","25","21","5","0","49","36","5"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","79","46","20","16","5","0","33","26","5"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Avu/Oforola","South East","Imo","Owerri West","Avu/Oforola","","0","61","37","15","16","0","0","24","22","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Emeabiam/Okolochi","South East","Imo","Owerri West","Emeabiam/Okolochi","","0","127","74","31","32","0","0","53","43","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Amuzu","South East","Imo","Aboh Mbaise","Amuzu","","0","68","42","15","17","0","0","26","27","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","25","16","5","5","0","0","9","11","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ibeku","South East","Imo","Aboh Mbaise","Ibeku","","0","43","27","15","10","5","0","16","12","5"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Aku","South East","Imo","Okigwe","Aku","","0","20","13","5","5","0","0","7","8","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","58","32","10","10","0","0","26","22","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","23","13","5","5","0","0","10","8","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","23","13","5","5","0","0","10","8","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","20","13","5","5","0","0","7","8","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Agbala/Obube/Ulakwo","South East","Imo","Owerri North","Agbala/Obube/Ulakwo","","0","43","29","10","10","0","0","14","19","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","25","13","5","5","0","0","12","8","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Avu/Oforola","South East","Imo","Owerri West","Avu/Oforola","","0","51","29","10","10","0","0","22","19","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Emeabiam/Okolochi","South East","Imo","Owerri West","Emeabiam/Okolochi","","0","38","24","10","11","0","0","14","14","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Amuzu","South East","Imo","Aboh Mbaise","Amuzu","","0","13","8","5","5","0","0","5","3","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","36","21","10","10","0","0","15","11","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ibeku","South East","Imo","Aboh Mbaise","Ibeku","","0","30","19","10","10","0","0","11","9","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Agbobu","South East","Imo","Okigwe","Agbobu","","0","43","27","10","10","0","0","16","17","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Aku","South East","Imo","Okigwe","Aku","","0","59","35","15","15","0","0","24","20","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","28","16","5","5","0","0","12","11","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","46","27","10","11","0","0","19","17","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","51","32","16","10","6","0","19","16","6"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","53","30","15","10","5","0","23","15","5"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Agbala/Obube/Ulakwo","South East","Imo","Owerri North","Agbala/Obube/Ulakwo","","0","38","24","10","10","0","0","14","14","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Awaka/Ihitte-Ogada","South East","Imo","Owerri North","Awaka/Ihitte-Ogada","","0","63","40","15","15","0","0","23","25","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Egbu","South East","Imo","Owerri North","Egbu","","0","25","16","5","5","0","0","9","11","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","20","11","5","5","0","0","9","6","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Enyiogugu","South East","Imo","Aboh Mbaise","Enyiogugu","","0","20","11","5","5","0","0","9","6","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Agbobu","South East","Imo","Okigwe","Agbobu","","0","53","32","10","10","0","0","21","22","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Amuro","South East","Imo","Okigwe","Amuro","","0","20","11","5","5","0","0","9","6","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Amaifeke","South East","Imo","Orlu","Amaifeke","","0","31","19","11","5","6","0","12","8","6"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Ebenese/Umueze/Nnachi Ihioma","South East","Imo","Orlu","Ebenese/Umueze/Nnachi Ihioma","","0","28","16","5","5","0","0","12","11","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Eziachi/Amike","South East","Imo","Orlu","Eziachi/Amike","","0","38","24","10","11","0","0","14","14","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Awaka/Ihitte-Ogada","South East","Imo","Owerri North","Awaka/Ihitte-Ogada","","0","18","11","5","5","0","0","7","6","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Egbu","South East","Imo","Owerri North","Egbu","","0","70","39","15","15","0","0","31","24","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Amakohia-Ubi/Ndegwu Ohii","South East","Imo","Owerri West","Amakohia-Ubi/Ndegwu Ohii","","0","56","34","15","10","5","0","22","19","5"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Avu/Oforola","South East","Imo","Owerri West","Avu/Oforola","","0","40","24","10","10","0","0","16","14","0"
"2019/2020","Female","all","NABTEB","2-year","University","ward","Emeabiam/Okolochi","South East","Imo","Owerri West","Emeabiam/Okolochi","","0","81","48","25","15","10","0","33","23","10"
