session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,86,52,14,16,0,0,34,38,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,29,20,7,8,0,0,9,13,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Akate,North East,Taraba,Donga,Akate,,0,31,20,7,8,0,0,11,13,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Asibiti,North East,Taraba,Donga,Asibiti,,0,93,61,15,17,0,0,32,46,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,0,50,32,15,8,7,0,18,17,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,0,62,37,14,16,0,0,25,23,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Barade,North East,Taraba,Jalingo,Barade,,0,29,17,7,8,0,0,12,10,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Kachalla Sembe,North East,Taraba,Jalingo,Kachalla Sembe,,0,69,43,14,16,0,0,26,29,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gembu 'A',North East,Taraba,Sardauna,Gembu 'A',,0,77,49,22,16,7,0,28,27,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gembu 'B',North East,Taraba,Sardauna,Gembu 'B',,0,96,64,30,24,7,0,32,34,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Kabri,North East,Taraba,Sardauna,Kabri,,0,72,47,22,16,7,0,25,25,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,26,17,8,8,0,0,9,9,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Avyi,North East,Taraba,Wukari,Avyi,,0,95,61,30,25,7,0,34,31,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,64,40,16,16,0,0,24,24,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,55,34,15,16,0,0,21,19,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,93,64,30,16,14,0,29,34,14
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Iware,North East,Taraba,Ardo Kola,Iware,,0,50,32,22,16,7,0,18,10,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Akate,North East,Taraba,Donga,Akate,,0,71,49,21,24,0,0,22,28,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Asibiti,North East,Taraba,Donga,Asibiti,,0,62,40,15,16,0,0,22,25,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bikadarko,North East,Taraba,Donga,Bikadarko,,0,132,81,31,33,0,0,51,50,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Barade,North East,Taraba,Jalingo,Barade,,0,48,32,15,8,7,0,16,17,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gembu 'B',North East,Taraba,Sardauna,Gembu 'B',,0,41,23,7,8,0,0,18,16,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Kabri,North East,Taraba,Sardauna,Kabri,,0,85,58,22,25,0,0,27,36,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,74,49,15,16,0,0,25,34,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Avyi,North East,Taraba,Wukari,Avyi,,0,65,44,22,16,7,0,21,22,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,33,20,7,8,0,0,13,13,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,41,26,8,8,0,0,15,18,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Iware,North East,Taraba,Ardo Kola,Iware,,0,43,29,14,16,0,0,14,15,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Abbare Yelwa,North East,Taraba,Jalingo,Abbare Yelwa,,0,59,37,14,16,0,0,22,23,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Barade,North East,Taraba,Jalingo,Barade,,0,91,55,22,25,0,0,36,33,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Kachalla Sembe,North East,Taraba,Jalingo,Kachalla Sembe,,0,93,58,22,16,7,0,35,36,7
2019/2020,Female,all,NABTEB,1-year,University,ward,Gembu 'A',North East,Taraba,Sardauna,Gembu 'A',,0,48,34,14,16,0,0,14,20,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Akwana,North East,Taraba,Wukari,Akwana,,0,19,12,7,8,0,0,7,5,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Bantaje,North East,Taraba,Wukari,Bantaje,,0,31,20,7,8,0,0,11,13,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Alim-Gora,North East,Taraba,Ardo Kola,Alim-Gora,,0,54,32,14,16,0,0,22,18,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ardo Kola,North East,Taraba,Ardo Kola,Ardo Kola,,0,19,12,7,8,0,0,7,5,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Akate,North East,Taraba,Donga,Akate,,0,21,15,7,8,0,0,6,8,0
