session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Brass I,South South,Bayelsa,Brass,Brass I,,0,56,38,10,9,1,0,18,28,1
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Brass ward II,South South,Bayelsa,Brass,Brass ward II,,0,116,80,26,26,0,0,36,54,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,0,31,23,9,9,0,0,8,14,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,0,54,39,18,14,4,0,15,21,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,0,48,30,8,10,0,0,18,22,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,0,74,57,22,18,4,0,17,35,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,0,61,43,17,13,4,0,18,26,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,0,84,59,22,23,0,0,25,37,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,0,37,26,9,9,0,0,11,17,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,0,29,21,9,9,0,0,8,12,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,0,37,26,9,9,0,0,11,17,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Attissa I,South South,Bayelsa,Yenagoa,Attissa I,,0,97,70,23,23,0,0,27,47,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Attissa II,South South,Bayelsa,Yenagoa,Attissa II,,0,68,47,18,9,9,0,21,29,9
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Attissa III,South South,Bayelsa,Yenagoa,Attissa III,,0,55,38,10,10,0,0,17,28,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Brass I,South South,Bayelsa,Brass,Brass I,,0,25,18,4,5,0,0,7,14,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,0,76,54,18,18,0,0,22,36,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,0,52,36,18,9,9,0,16,18,9
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,0,64,46,18,10,8,0,18,28,8
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,0,33,23,9,9,0,0,10,14,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,0,68,46,17,18,0,0,22,29,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,0,25,18,9,5,4,0,7,9,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,0,85,59,22,19,4,0,26,37,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,0,27,21,9,9,0,0,6,12,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,0,20,15,4,4,0,0,5,11,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Imiringi,South South,Bayelsa,Ogbia,Imiringi,,0,80,57,23,22,1,0,23,34,1
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Attissa II,South South,Bayelsa,Yenagoa,Attissa II,,0,41,28,13,9,4,0,13,15,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Attissa III,South South,Bayelsa,Yenagoa,Attissa III,,0,31,23,9,5,4,0,8,14,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Brass I,South South,Bayelsa,Brass,Brass I,,0,31,23,9,9,0,0,8,14,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,0,31,23,9,9,0,0,8,14,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,0,23,15,9,9,0,0,8,6,0
