session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,47,1,ALL,47.0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,144,3,ALL,48.0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,94,2,ALL,47.0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,JSS,,,Unqualified,218,4,ALL,54.5
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,JSS,,Grade II or Equivalent,Unqualified,218,4,ALL,54.5
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,JSS,,MEd or Equivalent,Qualified,209,4,ALL,52.2
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,813,14,ALL,58.1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,585,10,ALL,58.5
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,780,14,ALL,55.7
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,594,11,ALL,54.0
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,523,10,ALL,52.3
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,532,9,ALL,59.1
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,SSS,,,Unqualified,107,2,ALL,53.5
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,Public,SSS,,BEd or Equivalent,Qualified,333,7,ALL,47.6
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,140,3,ALL,46.7
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,140,3,ALL,46.7
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,140,3,ALL,46.7
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Public,JSS,,,Unqualified,169,3,ALL,56.3
2022/2023,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,Public,JSS,,Grade II or Equivalent,Unqualified,112,2,ALL,56.0
