session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Adult & Non-Formal Education,,,Unqualified,43,1,ALL,42.0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,136,2,ALL,44.6667
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,51,1,ALL,25.0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,43,1,ALL,42.0
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1423,18,ALL,39.0278
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1350,17,ALL,39.2059
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1203,16,ALL,38.3226
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 4,,Unqualified,1240,16,ALL,38.2812
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1277,17,ALL,38.2121
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1167,15,ALL,38.4
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,173,3,ALL,28.5
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,173,3,ALL,28.5
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1304,17,ALL,39.0303
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1265,16,ALL,39.0312
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1304,17,ALL,39.0303
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1087,14,ALL,38.3214
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1166,15,ALL,38.3667
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1206,16,ALL,38.4194
2022/2023,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,Private,JSS,,,Unqualified,648,7,ALL,45.7143
