session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,,Unqualified,38,3,ALL,12.6667
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,38,3,ALL,12.6667
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,30,3,ALL,10.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,38,3,ALL,12.6667
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,68,4,ALL,17.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1120,36,ALL,31.1111
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1087,34,ALL,31.9706
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 3,,Unqualified,1152,37,ALL,31.1351
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,988,31,ALL,31.871
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,922,29,ALL,31.7931
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,890,28,ALL,31.7857
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,,Unqualified,36,3,ALL,12.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,48,3,ALL,16.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,145,9,ALL,16.1111
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,60,4,ALL,15.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1266,41,ALL,30.878
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1055,34,ALL,31.0294
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1091,35,ALL,31.1714
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,985,32,ALL,30.7812
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 5,,Unqualified,844,27,ALL,31.2593
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,880,29,ALL,30.3448
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,,Unqualified,15,3,ALL,5.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,37,3,ALL,12.3333
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,15,3,ALL,5.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,15,3,ALL,5.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,15,3,ALL,5.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,BEd or Equivalent,Qualified,72,2,ALL,36.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,Grade II or Equivalent,Unqualified,457,12,ALL,38.0833
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,NCE,Qualified,132,5,ALL,26.4
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,692,19,ALL,36.4211
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,757,23,ALL,32.913
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,659,20,ALL,32.95
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 4,,Unqualified,626,19,ALL,32.9474
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,560,15,ALL,37.3333
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,527,14,ALL,37.6429
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,SSS,,Grade II or Equivalent,Unqualified,146,5,ALL,29.2
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,SSS,,NCE,Qualified,234,11,ALL,21.2727
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,,Unqualified,24,3,ALL,8.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,24,3,ALL,8.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,24,3,ALL,8.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,48,5,ALL,9.6
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,24,3,ALL,8.0
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,JSS,,,Unqualified,201,6,ALL,33.5
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,JSS,,Grade II or Equivalent,Unqualified,415,13,ALL,31.9231
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,669,22,ALL,30.4091
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,774,31,ALL,24.9677
2022/2023,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,739,30,ALL,24.6333
