session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Male,Public,SSS,,MEd or Equivalent,Qualified,340,5,ALL,68.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Female,Private,JSS,,,Unqualified,305,5,ALL,61.0
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,Private,JSS,,,Unqualified,371,6,ALL,61.8
2022/2023,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Female,Private,JSS,,,Unqualified,241,4,ALL,60.2
2022/2023,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,Public,JSS,,NCE,Qualified,211,3,ALL,70.3
2022/2023,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Gwartanbali,Female,Public,SSS,,PGDE,Qualified,512,8,ALL,64.0
2022/2023,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Male,Public,SSS,,Grade II or Equivalent,Unqualified,206,3,ALL,68.7
2022/2023,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,Public,JSS,,PGDE,Qualified,498,7,ALL,71.1
2022/2023,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Dan,Female,Public,JSS,,,Unqualified,427,6,ALL,71.2
2022/2023,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Male,Public,JSS,,BEd or Equivalent,Qualified,140,2,ALL,70.0
2022/2023,North East,Bauchi,Alkaleri,Futuk,Government Day Secondary School Futuk,Male,Public,SSS,,MEd or Equivalent,Qualified,402,6,ALL,67.0
2022/2023,North East,Bauchi,Alkaleri,Futuk,Government Junior Secondary School Bartak Duguri,Female,Public,SSS,,Grade II or Equivalent,Unqualified,412,6,ALL,68.7
2022/2023,North East,Bauchi,Alkaleri,Futuk,Government Junior Secondary School Kundak,Male,Public,SSS,,NCE,Qualified,390,6,ALL,65.0
2022/2023,North East,Bauchi,Alkaleri,Futuk,Perfect Science Technical School,Female,Public,JSS,,NCE,Qualified,341,5,ALL,68.2
