session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Adult & Non-Formal Education,,,Unqualified,340,5,ALL,68.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,133,2,ALL,66.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,136,2,ALL,68.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,133,2,ALL,66.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,133,2,ALL,66.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,JSS,,BEd or Equivalent,Qualified,590,8,ALL,73.8
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,JSS,,Grade II or Equivalent,Unqualified,604,8,ALL,75.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,JSS,,PGDE,Qualified,663,9,ALL,73.7
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 1,,Unqualified,3192,42,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 2,,Unqualified,2736,36,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,2812,37,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1672,22,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 5,MEd or Equivalent,Qualified,1672,22,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1672,23,ALL,72.7
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,SSS,,BEd or Equivalent,Qualified,480,7,ALL,68.6
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Public,SSS,,NCE,Qualified,823,12,ALL,68.6
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Adult & Non-Formal Education,,,Unqualified,515,7,ALL,73.6
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,609,9,ALL,67.7
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,271,4,ALL,67.8
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,271,4,ALL,67.8
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,JSS,,,Unqualified,532,7,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,JSS,,NCE,Qualified,580,8,ALL,72.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,JSS,,PGDE,Qualified,580,8,ALL,72.5
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 1,,Unqualified,2508,33,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,2052,27,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1824,24,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 4,,Unqualified,1900,25,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1824,24,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1824,24,ALL,76.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,SSS,,BEd or Equivalent,Qualified,489,7,ALL,69.9
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,SSS,,NCE,Qualified,210,3,ALL,70.0
2022/2023,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,Public,SSS,,PGDE,Qualified,629,9,ALL,69.9
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Adult & Non-Formal Education,,,Unqualified,59,1,ALL,59.0
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,108,2,ALL,54.0
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,176,3,ALL,58.7
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,271,5,ALL,54.2
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,54,1,ALL,54.0
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,JSS,,,Unqualified,399,6,ALL,66.5
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,JSS,,BEd or Equivalent,Qualified,180,3,ALL,60.0
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,JSS,,Grade II or Equivalent,Unqualified,466,7,ALL,66.6
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,JSS,,PGDE,Qualified,300,5,ALL,60.0
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,,,Unqualified,1144,17,ALL,67.3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,566,9,ALL,62.9
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,1413,21,ALL,67.3
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,,NCE,Qualified,1761,28,ALL,62.9
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,2257,33,ALL,68.4
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1891,29,ALL,65.2
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,1620,25,ALL,64.8
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,1514,24,ALL,63.1
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,1477,23,ALL,64.2
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,Pre-Primary/Primary,Primary 6,NCE,Qualified,1373,22,ALL,62.4
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,SSS,,MEd or Equivalent,Qualified,239,4,ALL,59.8
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,SSS,,NCE,Qualified,179,3,ALL,59.7
2022/2023,North West,Katsina,Daura,Kusugu,"Comprehensive High School, Kusugu",Female,Private,SSS,,PGDE,Qualified,419,7,ALL,59.9
