session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,63,1,ALL,63.0
2022/2023,North West,Jigawa,Auyo,Auyakayi,Ganuwar Kuka Islamiya Primary School,Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,64,1,ALL,64.0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Gidado Nomadic Primary School, Kure",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,56,1,ALL,56.0
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Junior Secondary School, Hakudau",Male,Private,JSS,,Grade II or Equivalent,Unqualified,654,10,ALL,65.4
2022/2023,North West,Jigawa,Auyo,Auyakayi,"Kudigin Primary School, Kudigin",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,56,1,ALL,56.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Gabas Primary School, Auyo Town",Female,Private,Adult & Non-Formal Education,,,Unqualified,59,1,ALL,59.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,58,1,ALL,58.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Qur`An Primary School, Auyo",Female,Private,Adult & Non-Formal Education,,,Unqualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Special Primary School, Auyo Town",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Bangeli Primary School, Bangeli",Male,Private,Adult & Non-Formal Education,,,Unqualified,61,1,ALL,61.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Gatakashe Primary School, Gatakashe",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,56,1,ALL,56.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Guyu Primary School, Guyu",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,59,1,ALL,59.0
2022/2023,North West,Jigawa,Auyo,Auyo,Gwanki Memorial Nursery And Primary School,Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Hakudau Primary School, Hakudau",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Jamaar Alkali Alkali Nomadic Primary School, Jamaar Alkali",Male,Private,Adult & Non-Formal Education,,,Unqualified,60,1,ALL,60.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Female,Private,JSS,,,Unqualified,902,14,ALL,64.4
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyakayi",Male,Private,JSS,,Grade II or Equivalent,Unqualified,547,8,ALL,68.4
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Female,Private,JSS,,PGDE,Qualified,489,8,ALL,61.1
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Male,Private,JSS,,PGDE,Qualified,373,6,ALL,62.2
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, G/Kuka",Female,Private,SSS,,BEd or Equivalent,Qualified,331,6,ALL,55.2
2022/2023,North West,Jigawa,Auyo,Auyo,Kaab Bin Malik  Quran School,Female,Private,Adult & Non-Formal Education,,NCE,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Kalgwai Primary School, Kalgwai",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,56,1,ALL,56.0
2022/2023,North West,Jigawa,Auyo,Auyo,"M/Majiya Primary School, Mashagwar Majiya",Female,Private,Adult & Non-Formal Education,,,Unqualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Auyo,"M/Shawara Primary School, Mashagwar Shawara",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Muran Primary School, Muran",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,58,1,ALL,58.0
2022/2023,North West,Jigawa,Auyo,Auyo,Sabuwar Auyo Islamiyya,Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Auyo,Tsangayar Malam Abdulaziz,Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,60,1,ALL,60.0
2022/2023,North West,Jigawa,Auyo,Auyo,Tsangayar Malam Adbu Aba,Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,55,1,ALL,55.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Tsidir Primary School, Tsidir",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,53,1,ALL,53.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Unik Gana Primary School, Unik",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Uza Primary School, Uza",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,63,1,ALL,63.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Zubaro Primary School, Zubaro",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,69,1,ALL,69.0
2022/2023,North West,Jigawa,Auyo,Auyo,"Zugo Nomadic Primary School, Zugo",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,66,1,ALL,66.0
2022/2023,North West,Jigawa,Auyo,Ayama,"Ayama Primary School, Ayama",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,68,1,ALL,68.0
2022/2023,North West,Jigawa,Auyo,Ayama,"Furawa Primary School, Furawa",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Ayama,"Gurajawa Nomadic Primary School, Gurajawa",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,69,1,ALL,69.0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,Private,SSS,,MEd or Equivalent,Qualified,548,9,ALL,60.9
2022/2023,North West,Jigawa,Auyo,Ayama,"M/Hausawa Primary School, Maje Hausawa",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Ayama,Marina Nomadic  Primary School,Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Ayan,"Ayan Primary School, Ayan",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,66,1,ALL,66.0
2022/2023,North West,Jigawa,Auyo,Ayan,"Hadiyo Primary School, Hadiyo",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,65,1,ALL,65.0
2022/2023,North West,Jigawa,Auyo,Ayan,Jamaar Ayan Nomadic Primary School,Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,63,1,ALL,63.0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,Private,SSS,,BEd or Equivalent,Qualified,410,7,ALL,58.6
2022/2023,North West,Jigawa,Auyo,Ayan,"Mado Primary School, Mado",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,68,1,ALL,68.0
2022/2023,North West,Jigawa,Auyo,Ayan,Safa Karfi Islamiya Primary School,Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,65,1,ALL,65.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Gamafio  Primary School,Male,Public,Adult & Non-Formal Education,,,Unqualified,70,1,ALL,70.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,"Gasanya Primary School, Gasanya",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,66,1,ALL,66.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,"Gidan Dalla Primary School, Gidan Dalla",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,68,1,ALL,68.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Haruna Islamiyya Primary School,Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,68,1,ALL,68.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Maro Primary School,Male,Public,Adult & Non-Formal Education,,NCE,Qualified,67,1,ALL,67.0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Zumoni Isalamiya Primary School,Female,Public,Adult & Non-Formal Education,,NCE,Qualified,64,1,ALL,64.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,Agamo Islamiyya Primary School,Male,Public,Adult & Non-Formal Education,,NCE,Qualified,66,1,ALL,66.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,"Gamsarka Primary School, Gamsarka",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,"Ganuwar Kuku Kuka Primary School, Ganuwar Kuku",Male,Private,Adult & Non-Formal Education,,,Unqualified,62,1,ALL,62.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,"Junior Arabic Secondary School, Gamsarka",Male,Private,SSS,,,Unqualified,455,7,ALL,65.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,"Jura Primary School, Jura",Female,Private,Adult & Non-Formal Education,,,Unqualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Gamsarka,"Safa Primary School, Safa",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,59,1,ALL,59.0
2022/2023,North West,Jigawa,Auyo,Gatafa,Gatafa Islamiyya Primary School,Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,52,1,ALL,52.0
2022/2023,North West,Jigawa,Auyo,Gatafa,"Gatafa Primary School, Gatafa",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,54,1,ALL,54.0
2022/2023,North West,Jigawa,Auyo,Gatafa,"Junior Secondary School, Gatafa",Female,Private,SSS,,BEd or Equivalent,Qualified,398,7,ALL,56.9
2022/2023,North West,Jigawa,Auyo,Gatafa,"Kaban Primary School, Kaban",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,57,1,ALL,57.0
2022/2023,North West,Jigawa,Auyo,Gatafa,Nurul Anwar Islamiyya Primary School,Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,58,1,ALL,58.0
2022/2023,North West,Jigawa,Auyo,Gatafa,"Shamarma Primary School, Shamarma",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,53,1,ALL,53.0
