session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,27,1,ALL,23.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,48,2,ALL,23.2857
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,JSS,,BEd or Equivalent,Qualified,127,4,ALL,31.0714
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,JSS,,MEd or Equivalent,Qualified,122,4,ALL,32.1538
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,JSS,,PGDE,Qualified,98,3,ALL,30.3636
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,423,15,ALL,27.3396
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,336,12,ALL,27.4048
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,386,13,ALL,27.5208
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,311,11,ALL,27.3077
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,286,10,ALL,27.2222
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,324,11,ALL,27.7
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,SSS,,Grade II or Equivalent,Unqualified,86,3,ALL,29.6
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,SSS,,NCE,Qualified,103,3,ALL,29.3333
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,Public,SSS,,PGDE,Qualified,41,1,ALL,28.2
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Adult & Non-Formal Education,,,Unqualified,18,1,ALL,20.3333
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,18,1,ALL,20.3333
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,27,1,ALL,23.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,40,2,ALL,23.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,JSS,,BEd or Equivalent,Qualified,105,3,ALL,32.5455
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,JSS,,MEd or Equivalent,Qualified,162,5,ALL,32.5882
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,JSS,,PGDE,Qualified,48,1,ALL,32.6
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,407,14,ALL,27.3137
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,353,12,ALL,27.4318
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,448,16,ALL,27.3571
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 4,,Unqualified,339,12,ALL,27.619
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 5,MEd or Equivalent,Qualified,285,10,ALL,27.8571
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,325,11,ALL,27.85
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,SSS,,BEd or Equivalent,Qualified,147,5,ALL,29.5882
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,Public,SSS,,NCE,Qualified,85,3,ALL,29.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Adult & Non-Formal Education,,,Unqualified,15,1,ALL,17.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,15,1,ALL,25.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,15,1,ALL,25.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,12,1,ALL,20.0
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,20,1,ALL,23.3333
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,,,Unqualified,87,3,ALL,27.0909
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,199,7,ALL,27.28
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,,NCE,Qualified,137,5,ALL,27.5882
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,,PGDE,Qualified,473,16,ALL,27.931
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 1,,Unqualified,423,15,ALL,27.3396
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,349,12,ALL,27.7442
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,386,13,ALL,27.5208
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,311,11,ALL,27.3077
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 5,PGDE,Qualified,361,13,ALL,27.4667
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,Private,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,261,9,ALL,27.1212
2022/2023,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,Private,Adult & Non-Formal Education,,,Unqualified,9,0,ALL,31.0
