session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Public,JSS,,,Unqualified,199,8,ALL,24.875
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Public,JSS,,PGDE,Qualified,100,4,ALL,25.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Public,SSS,,BEd or Equivalent,Qualified,25,2,ALL,12.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Public,SSS,,Grade II or Equivalent,Unqualified,39,2,ALL,19.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,Public,SSS,,PGDE,Qualified,131,5,ALL,26.2
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,JSS,,BEd or Equivalent,Qualified,92,3,ALL,30.6667
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,JSS,,Grade II or Equivalent,Unqualified,80,3,ALL,26.6667
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,JSS,,NCE,Qualified,32,2,ALL,16.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,JSS,,PGDE,Qualified,64,2,ALL,32.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,SSS,,BEd or Equivalent,Qualified,28,2,ALL,14.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,SSS,,Grade II or Equivalent,Unqualified,115,6,ALL,19.1667
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,Public,SSS,,NCE,Qualified,71,3,ALL,23.6667
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,JSS,,Grade II or Equivalent,Unqualified,60,3,ALL,20.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,JSS,,NCE,Qualified,143,7,ALL,20.4286
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,SSS,,,Unqualified,43,2,ALL,21.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,SSS,,BEd or Equivalent,Qualified,53,3,ALL,17.6667
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,SSS,,MEd or Equivalent,Qualified,36,2,ALL,18.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,Private,SSS,,PGDE,Qualified,18,2,ALL,9.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,Private,JSS,,BEd or Equivalent,Qualified,64,4,ALL,16.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,Private,JSS,,MEd or Equivalent,Qualified,64,4,ALL,16.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,Private,JSS,,PGDE,Qualified,72,4,ALL,18.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,Private,SSS,,Grade II or Equivalent,Unqualified,79,5,ALL,15.8
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Male,Private,SSS,,PGDE,Qualified,83,5,ALL,16.6
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Female,Public,JSS,,Grade II or Equivalent,Unqualified,215,9,ALL,23.8889
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Female,Public,JSS,,PGDE,Qualified,124,5,ALL,24.8
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Female,Public,SSS,,BEd or Equivalent,Qualified,75,4,ALL,18.75
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Female,Public,SSS,,NCE,Qualified,64,3,ALL,21.3333
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Female,Public,SSS,,PGDE,Qualified,78,4,ALL,19.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Male,Public,JSS,,,Unqualified,124,5,ALL,24.8
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Male,Public,JSS,,NCE,Qualified,187,10,ALL,18.7
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Male,Public,SSS,,,Unqualified,103,4,ALL,25.75
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre",Male,Public,SSS,,Grade II or Equivalent,Unqualified,123,5,ALL,24.6
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,37,2,ALL,18.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,14,1,ALL,14.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,11,2,ALL,5.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,11,1,ALL,11.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,JSS,,BEd or Equivalent,Qualified,88,4,ALL,22.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,JSS,,NCE,Qualified,192,9,ALL,21.3333
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,463,22,ALL,21.0455
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,397,18,ALL,22.0556
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,357,17,ALL,21.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,357,17,ALL,21.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,344,16,ALL,21.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,384,18,ALL,21.3333
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,SSS,,,Unqualified,25,2,ALL,12.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,SSS,,MEd or Equivalent,Qualified,43,2,ALL,21.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,SSS,,NCE,Qualified,82,3,ALL,27.3333
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Female,Public,SSS,,PGDE,Qualified,57,2,ALL,28.5
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Male,Public,Adult & Non-Formal Education,,,Unqualified,36,1,ALL,36.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,36,1,ALL,36.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Male,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,31,1,ALL,31.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Male,Public,JSS,,BEd or Equivalent,Qualified,76,4,ALL,19.0
2022/2023,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal",Male,Public,JSS,,NCE,Qualified,116,6,ALL,19.3333
