"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","City Centre","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","","211","208","134","69","64","6","3","74","66","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Garki","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","Garki","","257","253","158","55","51","6","4","95","103","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gui","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","Gui","","316","312","192","75","64","11","4","120","118","11"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bwari Central","North Central","Abuja Federal Capital Territory","Bwari","Bwari Central","","111","109","72","30","26","5","2","37","41","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Byazhin","North Central","Abuja Federal Capital Territory","Bwari","Byazhin","","283","279","168","62","52","11","4","111","107","11"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dutse Alhaji","North Central","Abuja Federal Capital Territory","Bwari","Dutse Alhaji","","157","155","98","43","39","5","2","57","56","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dobi","North Central","Abuja Federal Capital Territory","Gwagwalada","Dobi","","75","74","44","12","13","0","1","30","33","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gwagwalada Centre","North Central","Abuja Federal Capital Territory","Gwagwalada","Gwagwalada Centre","","218","215","133","61","63","0","3","82","72","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Chibiri","North Central","Abuja Federal Capital Territory","Kuje","Chibiri","","70","69","41","18","19","0","1","28","24","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gaube","North Central","Abuja Federal Capital Territory","Kuje","Gaube","","193","190","117","48","45","5","3","73","68","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ashara","North Central","Abuja Federal Capital Territory","Kwali","Ashara","","183","180","105","43","38","6","3","75","63","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gumbo","North Central","Abuja Federal Capital Territory","Kwali","Gumbo","","86","85","47","18","19","0","1","38","30","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","City Centre","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","City Centre","","138","136","87","31","26","5","2","49","56","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Garki","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","Garki","","133","131","81","31","26","5","2","50","51","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bwari Central","North Central","Abuja Federal Capital Territory","Bwari","Bwari Central","","166","164","108","50","45","5","2","56","58","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Byazhin","North Central","Abuja Federal Capital Territory","Bwari","Byazhin","","110","108","63","19","19","0","2","45","44","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dutse Alhaji","North Central","Abuja Federal Capital Territory","Bwari","Dutse Alhaji","","86","85","50","25","19","6","1","35","26","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dobi","North Central","Abuja Federal Capital Territory","Gwagwalada","Dobi","","206","203","129","54","51","5","3","74","74","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gwako","North Central","Abuja Federal Capital Territory","Gwagwalada","Gwako","","104","102","67","25","19","6","2","35","42","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Chibiri","North Central","Abuja Federal Capital Territory","Kuje","Chibiri","","184","182","120","56","45","11","2","62","65","11"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gaube","North Central","Abuja Federal Capital Territory","Kuje","Gaube","","109","107","66","25","19","6","2","41","42","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gudun Karya","North Central","Abuja Federal Capital Territory","Kuje","Gudun Karya","","201","198","116","42","45","0","3","82","75","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ashara","North Central","Abuja Federal Capital Territory","Kwali","Ashara","","114","112","62","18","13","5","2","50","45","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dafa","North Central","Abuja Federal Capital Territory","Kwali","Dafa","","94","93","56","18","13","5","1","37","39","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gumbo","North Central","Abuja Federal Capital Territory","Kwali","Gumbo","","141","139","89","43","45","0","2","50","47","0"
