session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,ward,City Centre,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,,212,209,135,69,64,6,3,74,66,6
2019/2020,Female,all,NABTEB,College of Education,ward,Garki,North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,,260,256,160,56,52,6,4,96,104,6
2019/2020,Female,all,NABTEB,College of Education,ward,Gui,North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,,317,313,193,75,64,11,4,120,118,11
2019/2020,Female,all,NABTEB,College of Education,ward,Bwari Central,North Central,Federal Capital Territory,Bwari,Bwari Central,,113,111,73,31,26,5,2,38,42,5
2019/2020,Female,all,NABTEB,College of Education,ward,Byazhin,North Central,Federal Capital Territory,Bwari,Byazhin,,284,280,169,62,52,11,4,111,107,11
2019/2020,Female,all,NABTEB,College of Education,ward,Dutse Alhaji,North Central,Federal Capital Territory,Bwari,Dutse Alhaji,,158,156,99,43,39,5,2,57,56,5
2019/2020,Female,all,NABTEB,College of Education,ward,Dobi,North Central,Federal Capital Territory,Gwagwalada,Dobi,,76,75,45,12,13,0,1,30,33,0
2019/2020,Female,all,NABTEB,College of Education,ward,Gwagwalada Centre,North Central,Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,222,219,135,62,64,0,3,84,73,0
2019/2020,Female,all,NABTEB,College of Education,ward,Chibiri,North Central,Federal Capital Territory,Kuje,Chibiri,,71,70,42,18,19,0,1,28,24,0
2019/2020,Female,all,NABTEB,College of Education,ward,Gaube,North Central,Federal Capital Territory,Kuje,Gaube,,195,192,118,49,45,5,3,74,69,5
2019/2020,Female,all,NABTEB,College of Education,ward,Ashara,North Central,Federal Capital Territory,Kwali,Ashara,,184,181,106,43,38,6,3,75,63,6
2019/2020,Female,all,NABTEB,College of Education,ward,Gumbo,North Central,Federal Capital Territory,Kwali,Gumbo,,87,86,48,18,19,0,1,38,30,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,City Centre,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,,140,138,88,31,26,5,2,50,57,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Garki,North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,,134,132,82,31,26,5,2,50,51,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Bwari Central,North Central,Federal Capital Territory,Bwari,Bwari Central,,166,164,108,50,45,5,2,56,58,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Byazhin,North Central,Federal Capital Territory,Bwari,Byazhin,,110,108,63,19,19,0,2,45,44,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Dutse Alhaji,North Central,Federal Capital Territory,Bwari,Dutse Alhaji,,87,86,51,25,19,6,1,35,26,6
2019/2020,Female,all,NABTEB,Polytechnic,ward,Dobi,North Central,Federal Capital Territory,Gwagwalada,Dobi,,208,205,130,55,51,5,3,75,75,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Gwako,North Central,Federal Capital Territory,Gwagwalada,Gwako,,104,102,67,25,19,6,2,35,42,6
2019/2020,Female,all,NABTEB,Polytechnic,ward,Chibiri,North Central,Federal Capital Territory,Kuje,Chibiri,,185,183,121,56,45,11,2,62,65,11
2019/2020,Female,all,NABTEB,Polytechnic,ward,Gaube,North Central,Federal Capital Territory,Kuje,Gaube,,110,108,67,25,19,6,2,41,42,6
2019/2020,Female,all,NABTEB,Polytechnic,ward,Gudun Karya,North Central,Federal Capital Territory,Kuje,Gudun Karya,,202,199,117,42,45,0,3,82,75,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Ashara,North Central,Federal Capital Territory,Kwali,Ashara,,115,113,63,18,13,5,2,50,45,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Dafa,North Central,Federal Capital Territory,Kwali,Dafa,,95,94,57,18,13,5,1,37,39,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Gumbo,North Central,Federal Capital Territory,Kwali,Gumbo,,142,140,90,43,45,0,2,50,47,0
2019/2020,Female,all,NABTEB,University,ward,Gui,North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,,58,57,33,12,13,0,1,24,21,0
2019/2020,Female,all,NABTEB,University,ward,Bwari Central,North Central,Federal Capital Territory,Bwari,Bwari Central,,58,57,33,19,19,0,1,24,14,0
2019/2020,Female,all,NABTEB,University,ward,Dutse Alhaji,North Central,Federal Capital Territory,Bwari,Dutse Alhaji,,158,156,100,37,32,5,2,56,63,5
2019/2020,Female,all,NABTEB,University,ward,Dobi,North Central,Federal Capital Territory,Gwagwalada,Dobi,,126,124,70,25,19,6,2,54,45,6
2019/2020,Female,all,NABTEB,University,ward,Gwagwalada Centre,North Central,Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,79,78,45,12,13,0,1,33,33,0
2019/2020,Female,all,NABTEB,University,ward,Gwako,North Central,Federal Capital Territory,Gwagwalada,Gwako,,205,202,135,68,65,5,3,67,67,5
2019/2020,Female,all,NABTEB,University,ward,Chibiri,North Central,Federal Capital Territory,Kuje,Chibiri,,107,105,67,31,26,5,2,38,36,5
2019/2020,Female,all,NABTEB,University,ward,Gaube,North Central,Federal Capital Territory,Kuje,Gaube,,58,57,33,12,13,0,1,24,21,0
2019/2020,Female,all,NABTEB,University,ward,Gudun Karya,North Central,Federal Capital Territory,Kuje,Gudun Karya,,63,62,39,12,13,0,1,23,27,0
2019/2020,Female,all,NABTEB,University,ward,Ashara,North Central,Federal Capital Territory,Kwali,Ashara,,118,116,67,18,13,5,2,49,49,5
2019/2020,Female,all,NABTEB,University,ward,Dafa,North Central,Federal Capital Territory,Kwali,Dafa,,270,267,159,61,52,10,3,108,98,10
