"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ariaria Market","South East","Abia","Aba North","Ariaria Market","","95","94","65","15","10","5","1","29","50","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Eziama","South East","Abia","Aba North","Eziama","","255","251","176","61","56","5","4","75","115","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Industrial Area","South East","Abia","Aba North","Industrial Area","","205","202","147","49","44","5","3","55","98","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Aba River","South East","Abia","Aba South","Aba River","","143","141","104","30","30","0","2","37","74","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Aba Town Hall","South East","Abia","Aba South","Aba Town Hall","","130","128","82","25","20","5","2","46","58","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Asa","South East","Abia","Aba South","Asa","","74","73","51","20","20","0","1","22","32","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Arochukwu I","South East","Abia","Arochukwu","Arochukwu I","","138","136","100","34","30","5","2","36","65","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Arochukwu III","South East","Abia","Arochukwu","Arochukwu III","","247","243","182","66","57","10","4","61","116","10"
"2019/2020","Female","all","NABTEB","College of Education","ward","Afugiri","South East","Abia","Umuahia North","Afugiri","","84","83","58","20","15","5","1","25","38","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ibeku East I","South East","Abia","Umuahia North","Ibeku East I","","179","176","130","45","39","6","3","46","85","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ahiaukwu  I","South East","Abia","Umuahia South","Ahiaukwu  I","","170","168","118","35","30","5","2","50","83","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ahiaukwu  II","South East","Abia","Umuahia South","Ahiaukwu  II","","225","221","163","66","61","5","4","58","98","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amakama","South East","Abia","Umuahia South","Amakama","","163","160","117","45","40","6","3","43","71","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ariaria Market","South East","Abia","Aba North","Ariaria Market","","53","52","38","20","20","0","1","14","18","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Eziama","South East","Abia","Aba North","Eziama","","55","54","37","15","15","0","1","17","23","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Industrial Area","South East","Abia","Aba North","Industrial Area","","85","84","65","25","20","5","1","19","41","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Aba River","South East","Abia","Aba South","Aba River","","111","109","78","34","29","5","2","31","44","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Asa","South East","Abia","Aba South","Asa","","127","125","89","25","20","5","2","36","64","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Arochukwu I","South East","Abia","Arochukwu","Arochukwu I","","98","97","69","24","20","5","1","28","44","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Arochukwu II","South East","Abia","Arochukwu","Arochukwu II","","227","224","163","60","55","5","3","61","104","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Afugiri","South East","Abia","Umuahia North","Afugiri","","102","100","65","20","15","5","2","35","45","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ibeku East I","South East","Abia","Umuahia North","Ibeku East I","","83","82","59","25","20","5","1","23","34","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ibeku East II","South East","Abia","Umuahia North","Ibeku East II","","198","195","144","49","39","10","3","51","95","10"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ahiaukwu  I","South East","Abia","Umuahia South","Ahiaukwu  I","","216","213","170","61","51","10","3","43","109","10"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amakama","South East","Abia","Umuahia South","Amakama","","105","103","82","31","25","6","2","21","52","6"
"2019/2020","Female","all","NABTEB","University","ward","Ariaria Market","South East","Abia","Aba North","Ariaria Market","","191","188","131","41","35","6","3","57","91","6"
"2019/2020","Female","all","NABTEB","University","ward","Aba Town Hall","South East","Abia","Aba South","Aba Town Hall","","303","298","215","66","56","10","5","83","149","10"
"2019/2020","Female","all","NABTEB","University","ward","Asa","South East","Abia","Aba South","Asa","","206","203","146","35","30","5","3","57","111","5"
"2019/2020","Female","all","NABTEB","University","ward","Arochukwu I","South East","Abia","Arochukwu","Arochukwu I","","83","82","59","20","20","0","1","23","39","0"
"2019/2020","Female","all","NABTEB","University","ward","Arochukwu II","South East","Abia","Arochukwu","Arochukwu II","","133","131","96","31","26","5","2","35","66","5"
