"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward I N2","South West","Oyo","Ibadan North","Ward I N2","","54","53","31","14","15","0","1","22","18","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward II, N3","South West","Oyo","Ibadan North","Ward II, N3","","269","265","156","61","61","3","4","109","95","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward III, N4","South West","Oyo","Ibadan North","Ward III, N4","","174","172","103","38","36","4","2","69","66","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward 08 SW7","South West","Oyo","Ibadan South","Ward 08 SW7","","243","239","145","57","56","3","4","94","88","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward 10 SW8 II","South West","Oyo","Ibadan South","Ward 10 SW8 II","","56","55","33","18","20","0","1","22","14","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward 11 SW9(1)","South West","Oyo","Ibadan South","Ward 11 SW9(1)","","202","199","123","48","41","7","3","76","75","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Aaje/Ogunbado","South West","Oyo","Ogbomosho North","Aaje/Ogunbado","","172","169","102","38","36","3","3","67","64","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abogunde","South West","Oyo","Ogbomosho North","Abogunde","","118","116","75","29","26","3","2","41","46","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Aguodo/ Masifa","South West","Oyo","Ogbomosho North","Aguodo/ Masifa","","232","228","134","52","46","6","4","94","82","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Agboye/Molete","South West","Oyo","Oyo East","Agboye/Molete","","257","253","154","52","46","6","4","99","103","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ajagba","South West","Oyo","Oyo East","Ajagba","","215","212","123","43","35","8","3","89","80","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alaodi/Modeke","South West","Oyo","Oyo East","Alaodi/Modeke","","107","105","68","33","31","2","2","37","36","2"
"2019/2020","Female","all","NABTEB","College of Education","ward","Agbonle","South West","Oyo","Saki East","Agbonle","","205","202","132","48","47","3","3","70","85","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ago Amodu I","South West","Oyo","Saki East","Ago Amodu I","","76","75","48","24","21","3","1","27","25","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ago Amodu II","South West","Oyo","Saki East","Ago Amodu II","","134","132","85","29","26","3","2","47","57","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward III, N4","South West","Oyo","Ibadan North","Ward III, N4","","95","94","57","19","20","0","1","37","39","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward 08 SW7","South West","Oyo","Ibadan South","Ward 08 SW7","","72","71","48","23","20","3","1","23","24","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward 10 SW8 II","South West","Oyo","Ibadan South","Ward 10 SW8 II","","275","271","165","65","60","6","4","106","100","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward 11 SW9(1)","South West","Oyo","Ibadan South","Ward 11 SW9(1)","","76","75","45","19","20","0","1","30","27","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abogunde","South West","Oyo","Ogbomosho North","Abogunde","","62","61","33","9","10","0","1","28","25","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Alaodi/Modeke","South West","Oyo","Oyo East","Alaodi/Modeke","","133","131","80","24","20","4","2","51","56","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Agbonle","South West","Oyo","Saki East","Agbonle","","76","75","42","14","15","0","1","33","29","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ago Amodu I","South West","Oyo","Saki East","Ago Amodu I","","207","204","128","47","46","2","3","76","82","2"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ago Amodu II","South West","Oyo","Saki East","Ago Amodu II","","97","96","65","28","26","2","1","31","38","2"
"2019/2020","Female","all","NABTEB","University","ward","Ward I N2","South West","Oyo","Ibadan North","Ward I N2","","363","358","226","76","66","10","5","132","151","10"
"2019/2020","Female","all","NABTEB","University","ward","Ward II, N3","South West","Oyo","Ibadan North","Ward II, N3","","91","90","57","23","20","4","1","33","33","4"
"2019/2020","Female","all","NABTEB","University","ward","Ward III, N4","South West","Oyo","Ibadan North","Ward III, N4","","115","113","68","24","20","4","2","45","45","4"
"2019/2020","Female","all","NABTEB","University","ward","Ward 11 SW9(1)","South West","Oyo","Ibadan South","Ward 11 SW9(1)","","104","102","62","29","26","3","2","40","34","3"
"2019/2020","Female","all","NABTEB","University","ward","Aaje/Ogunbado","South West","Oyo","Ogbomosho North","Aaje/Ogunbado","","185","182","108","28","25","4","3","74","80","4"
"2019/2020","Female","all","NABTEB","University","ward","Abogunde","South West","Oyo","Ogbomosho North","Abogunde","","216","213","134","48","41","7","3","79","87","7"
"2019/2020","Female","all","NABTEB","University","ward","Aguodo/ Masifa","South West","Oyo","Ogbomosho North","Aguodo/ Masifa","","230","227","136","48","40","8","3","91","88","8"
"2019/2020","Female","all","NABTEB","University","ward","Agboye/Molete","South West","Oyo","Oyo East","Agboye/Molete","","163","161","94","28","25","4","2","67","67","4"
"2019/2020","Female","all","NABTEB","University","ward","Ajagba","South West","Oyo","Oyo East","Ajagba","","134","132","83","38","36","3","2","49","46","3"
"2019/2020","Female","all","NABTEB","University","ward","Alaodi/Modeke","South West","Oyo","Oyo East","Alaodi/Modeke","","195","192","109","33","30","4","3","83","76","4"
"2019/2020","Female","all","NABTEB","University","ward","Agbonle","South West","Oyo","Saki East","Agbonle","","56","55","33","14","14","0","1","22","19","0"
"2019/2020","Female","all","NABTEB","University","ward","Ago Amodu I","South West","Oyo","Saki East","Ago Amodu I","","76","75","48","19","21","0","1","27","30","0"
"2019/2020","Female","all","NABTEB","University","ward","Ago Amodu II","South West","Oyo","Saki East","Ago Amodu II","","184","181","103","38","36","3","3","78","66","3"
"2019/2020","Female","all","NECO","College of Education","ward","Ward I N2","South West","Oyo","Ibadan North","Ward I N2","","109","107","65","31","27","4","2","42","35","4"
"2019/2020","Female","all","NECO","College of Education","ward","Ward II, N3","South West","Oyo","Ibadan North","Ward II, N3","","503","496","296","116","105","11","7","200","180","11"
"2019/2020","Female","all","NECO","College of Education","ward","Ward III, N4","South West","Oyo","Ibadan North","Ward III, N4","","367","361","218","71","63","8","6","143","147","8"
"2019/2020","Female","all","NECO","College of Education","ward","Ward 08 SW7","South West","Oyo","Ibadan South","Ward 08 SW7","","441","435","285","120","101","20","6","150","164","20"
"2019/2020","Female","all","NECO","College of Education","ward","Ward 10 SW8 II","South West","Oyo","Ibadan South","Ward 10 SW8 II","","109","107","70","31","27","4","2","37","40","4"
"2019/2020","Female","all","NECO","College of Education","ward","Ward 11 SW9(1)","South West","Oyo","Ibadan South","Ward 11 SW9(1)","","371","366","230","102","86","16","5","136","128","16"
"2019/2020","Female","all","NECO","College of Education","ward","Aaje/Ogunbado","South West","Oyo","Ogbomosho North","Aaje/Ogunbado","","352","347","217","93","82","12","5","130","123","12"
"2019/2020","Female","all","NECO","College of Education","ward","Abogunde","South West","Oyo","Ogbomosho North","Abogunde","","239","235","149","58","50","8","4","86","91","8"
"2019/2020","Female","all","NECO","College of Education","ward","Aguodo/ Masifa","South West","Oyo","Ogbomosho North","Aguodo/ Masifa","","427","420","254","98","87","11","7","166","156","11"
"2019/2020","Female","all","NECO","College of Education","ward","Agboye/Molete","South West","Oyo","Oyo East","Agboye/Molete","","483","476","283","103","87","16","7","193","180","16"
"2019/2020","Female","all","NECO","College of Education","ward","Ajagba","South West","Oyo","Oyo East","Ajagba","","378","372","221","89","77","12","6","151","132","12"
"2019/2020","Female","all","NECO","College of Education","ward","Alaodi/Modeke","South West","Oyo","Oyo East","Alaodi/Modeke","","199","196","131","58","50","8","3","65","73","8"
"2019/2020","Female","all","NECO","College of Education","ward","Agbonle","South West","Oyo","Saki East","Agbonle","","353","348","207","85","73","12","5","141","123","12"
"2019/2020","Female","all","NECO","College of Education","ward","Ago Amodu I","South West","Oyo","Saki East","Ago Amodu I","","144","142","88","36","32","4","2","54","52","4"
"2019/2020","Female","all","NECO","College of Education","ward","Ago Amodu II","South West","Oyo","Saki East","Ago Amodu II","","248","244","149","62","55","8","4","95","86","8"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward III, N4","South West","Oyo","Ibadan North","Ward III, N4","","180","177","104","36","32","4","3","73","68","4"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward 08 SW7","South West","Oyo","Ibadan South","Ward 08 SW7","","121","119","78","36","32","4","2","41","43","4"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward 10 SW8 II","South West","Oyo","Ibadan South","Ward 10 SW8 II","","537","528","320","121","101","20","9","208","199","20"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward 11 SW9(1)","South West","Oyo","Ibadan South","Ward 11 SW9(1)","","139","137","86","40","32","8","2","51","47","8"
"2019/2020","Female","all","NECO","Polytechnic","ward","Abogunde","South West","Oyo","Ogbomosho North","Abogunde","","121","119","70","27","23","4","2","49","44","4"
"2019/2020","Female","all","NECO","Polytechnic","ward","Alaodi/Modeke","South West","Oyo","Oyo East","Alaodi/Modeke","","272","268","159","49","41","8","4","109","110","8"
"2019/2020","Female","all","NECO","Polytechnic","ward","Agbonle","South West","Oyo","Saki East","Agbonle","","141","139","80","27","23","4","2","59","53","4"
