"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Asso","North West","Kaduna","Jema'a","Asso","","241","238","176","88","83","7","3","62","88","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Atuku","North West","Kaduna","Jema'a","Atuku","","114","112","79","26","19","7","2","33","53","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bedde","North West","Kaduna","Jema'a","Bedde","","162","160","108","53","46","7","2","52","56","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Badarawa","North West","Kaduna","Kaduna North","Badarawa","","336","332","225","88","83","7","4","107","138","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gabasawa","North West","Kaduna","Kaduna North","Gabasawa","","153","151","105","43","46","0","2","46","62","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gaji","North West","Kaduna","Kaduna North","Gaji","","153","151","96","43","47","0","2","55","53","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Badiko","North West","Kaduna","Kaduna South","Badiko","","63","62","41","16","17","0","1","21","24","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Barnawa","North West","Kaduna","Kaduna South","Barnawa","","91","90","62","26","28","0","1","28","37","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Kakuri Gwari","North West","Kaduna","Kaduna South","Kakuri Gwari","","88","87","59","35","28","7","1","28","24","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dan Wata","North West","Kaduna","Soba","Dan Wata","","91","90","58","26","28","0","1","32","33","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gamagira","North West","Kaduna","Soba","Gamagira","","255","251","180","79","74","7","4","71","101","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dambo","North West","Kaduna","Zaria","Dambo","","297","292","197","79","65","14","5","95","118","14"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dutsen Abba","North West","Kaduna","Zaria","Dutsen Abba","","174","172","118","61","56","7","2","54","57","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gyallesu","North West","Kaduna","Zaria","Gyallesu","","282","278","189","60","64","0","4","89","129","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Asso","North West","Kaduna","Jema'a","Asso","","141","139","104","43","36","7","2","35","60","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Atuku","North West","Kaduna","Jema'a","Atuku","","115","113","70","18","19","0","2","43","53","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gaji","North West","Kaduna","Kaduna North","Gaji","","105","103","70","26","19","7","2","33","45","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Badiko","North West","Kaduna","Kaduna South","Badiko","","84","83","62","26","18","8","1","21","37","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Barnawa","North West","Kaduna","Kaduna South","Barnawa","","119","117","80","35","28","7","2","37","45","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Kakuri Gwari","North West","Kaduna","Kaduna South","Kakuri Gwari","","105","103","74","35","28","7","2","29","40","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Garun Gwanki","North West","Kaduna","Soba","Garun Gwanki","","138","136","87","35","28","7","2","49","53","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dambo","North West","Kaduna","Zaria","Dambo","","91","90","58","17","18","0","1","32","42","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gyallesu","North West","Kaduna","Zaria","Gyallesu","","126","124","92","35","28","7","2","32","57","7"
"2019/2020","Female","all","NABTEB","University","ward","Asso","North West","Kaduna","Jema'a","Asso","","78","77","55","26","28","0","1","22","29","0"
"2019/2020","Female","all","NABTEB","University","ward","Atuku","North West","Kaduna","Jema'a","Atuku","","274","270","183","52","46","8","4","87","131","8"
"2019/2020","Female","all","NABTEB","University","ward","Bedde","North West","Kaduna","Jema'a","Bedde","","361","356","236","79","74","7","5","120","157","7"
"2019/2020","Female","all","NABTEB","University","ward","Badarawa","North West","Kaduna","Kaduna North","Badarawa","","78","77","50","18","19","0","1","27","32","0"
"2019/2020","Female","all","NABTEB","University","ward","Gabasawa","North West","Kaduna","Kaduna North","Gabasawa","","320","315","222","97","83","14","5","93","125","14"
"2019/2020","Female","all","NABTEB","University","ward","Gaji","North West","Kaduna","Kaduna North","Gaji","","106","104","75","44","37","7","2","29","31","7"
"2019/2020","Female","all","NABTEB","University","ward","Badiko","North West","Kaduna","Kaduna South","Badiko","","227","223","159","60","56","7","4","64","98","7"
"2019/2020","Female","all","NABTEB","University","ward","Barnawa","North West","Kaduna","Kaduna South","Barnawa","","191","188","121","44","46","0","3","67","77","0"
"2019/2020","Female","all","NABTEB","University","ward","Kakuri Gwari","North West","Kaduna","Kaduna South","Kakuri Gwari","","204","201","138","53","46","7","3","63","85","7"
"2019/2020","Female","all","NABTEB","University","ward","Dan Wata","North West","Kaduna","Soba","Dan Wata","","330","325","230","87","74","15","5","95","143","15"
