"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Agamo/Oke-Oore/Akomowa","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","","53","52","40","13","13","0","1","12","28","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ayede/Ogbese","South West","Ondo","Akure North","Ayede/Ogbese","","195","192","133","47","39","8","3","59","86","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ayetoro","South West","Ondo","Akure North","Ayetoro","","91","90","64","21","18","3","1","26","43","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Aponmu","South West","Ondo","Akure South","Aponmu","","155","153","114","42","35","8","2","39","71","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gbogi/Isikan I","South West","Ondo","Akure South","Gbogi/Isikan I","","301","297","211","68","62","6","4","86","143","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gbogi/Isikan II","South West","Ondo","Akure South","Gbogi/Isikan II","","95","94","75","29","25","4","1","19","46","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ago-Alaye","South West","Ondo","Odigbo","Ago-Alaye","","144","142","105","34","31","3","2","37","71","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Asantan Oja","South West","Ondo","Ondo East","Asantan Oja","","95","94","63","21","18","3","1","31","42","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ateru/Otasan/Igba","South West","Ondo","Ondo East","Ateru/Otasan/Igba","","104","102","76","21","18","3","2","26","55","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Enuowa/Obalalu","South West","Ondo","Ondo West","Enuowa/Obalalu","","61","60","44","13","13","0","1","16","31","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gbaghengha/Gbongbo/Ajagba Alafia","South West","Ondo","Ondo West","Gbaghengha/Gbongbo/Ajagba Alafia","","176","173","122","42","38","4","3","51","80","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ifore/Odosida/Loro","South West","Ondo","Ondo West","Ifore/Odosida/Loro","","96","95","66","21","18","3","1","29","46","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Agamo/Oke-Oore/Akomowa","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","","242","239","175","60","53","7","3","64","116","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ayede/Ogbese","South West","Ondo","Akure North","Ayede/Ogbese","","109","107","82","30","26","4","2","25","53","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ayetoro","South West","Ondo","Akure North","Ayetoro","","130","128","92","26","22","4","2","36","66","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Aponmu","South West","Ondo","Akure South","Aponmu","","77","76","53","17","13","4","1","23","36","4"
