"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","103","101","63","32","27","5","2","38","31","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dugja","North East","Borno","Biu","Dugja","","197","194","104","38","28","10","3","90","67","10"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ashigashiya","North East","Borno","Gwoza","Ashigashiya","","179","177","102","38","35","5","2","75","64","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","121","119","65","20","21","0","2","54","45","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dure / Wala / Warabe","North East","Borno","Gwoza","Dure / Wala / Warabe","","255","252","144","51","42","10","3","108","93","10"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alau","North East","Borno","Jere","Alau","","50","49","27","13","14","0","1","22","15","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bale Galtimari","North East","Borno","Jere","Bale Galtimari","","97","96","52","19","14","5","1","44","34","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dala lawanti","North East","Borno","Jere","Dala lawanti","","64","63","34","19","21","0","1","29","16","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bolori I","North East","Borno","Maiduguri","Bolori I","","195","192","112","46","35","11","3","80","67","11"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bolori II","North East","Borno","Maiduguri","Bolori II","","82","81","47","26","21","5","1","34","22","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bulablin","North East","Borno","Maiduguri","Bulablin","","138","136","77","32","28","5","2","59","46","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Buratai","North East","Borno","Biu","Buratai","","105","103","57","19","14","5","2","46","39","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","169","167","95","39","35","5","2","72","56","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dugja","North East","Borno","Biu","Dugja","","61","60","34","13","14","0","1","26","22","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Chibok Garu","North East","Borno","Chibok","Chibok Garu","","85","84","49","26","21","5","1","35","24","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Chibok Likama","North East","Borno","Chibok","Chibok Likama","","91","90","48","26","21","5","1","42","22","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Chibok Wuntaku","North East","Borno","Chibok","Chibok Wuntaku","","194","191","103","32","28","5","3","88","71","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ashigashiya","North East","Borno","Gwoza","Ashigashiya","","155","153","88","39","35","5","2","65","49","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","129","127","75","39","34","5","2","52","36","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Alau","North East","Borno","Jere","Alau","","189","186","108","51","42","9","3","78","57","9"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bale Galtimari","North East","Borno","Jere","Bale Galtimari","","53","52","30","19","21","0","1","22","11","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Dala lawanti","North East","Borno","Jere","Dala lawanti","","52","51","29","19","21","0","1","22","11","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bolori I","North East","Borno","Maiduguri","Bolori I","","198","195","107","52","42","10","3","88","56","10"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bolori II","North East","Borno","Maiduguri","Bolori II","","200","197","110","45","42","4","3","87","65","4"
"2019/2020","Female","all","NABTEB","University","ward","Buratai","North East","Borno","Biu","Buratai","","240","236","138","64","56","9","4","98","74","9"
"2019/2020","Female","all","NABTEB","University","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","66","65","39","19","14","5","1","26","21","5"
"2019/2020","Female","all","NABTEB","University","ward","Dugja","North East","Borno","Biu","Dugja","","103","101","58","32","28","4","2","43","26","4"
"2019/2020","Female","all","NABTEB","University","ward","Chibok Garu","North East","Borno","Chibok","Chibok Garu","","206","203","116","45","42","5","3","87","71","5"
"2019/2020","Female","all","NABTEB","University","ward","Chibok Likama","North East","Borno","Chibok","Chibok Likama","","190","187","103","39","42","0","3","84","64","0"
"2019/2020","Female","all","NABTEB","University","ward","Chibok Wuntaku","North East","Borno","Chibok","Chibok Wuntaku","","145","143","77","26","21","5","2","66","52","5"
"2019/2020","Female","all","NABTEB","University","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","88","87","53","26","28","0","1","34","27","0"
"2019/2020","Female","all","NABTEB","University","ward","Dure / Wala / Warabe","North East","Borno","Gwoza","Dure / Wala / Warabe","","112","110","59","26","21","5","2","51","34","5"
"2019/2020","Female","all","NABTEB","University","ward","Alau","North East","Borno","Jere","Alau","","95","94","60","32","28","4","1","34","28","4"
"2019/2020","Female","all","NABTEB","University","ward","Bale Galtimari","North East","Borno","Jere","Bale Galtimari","","159","157","88","32","28","5","2","69","56","5"
"2019/2020","Female","all","NABTEB","University","ward","Dala lawanti","North East","Borno","Jere","Dala lawanti","","138","136","72","26","21","5","2","64","47","5"
"2019/2020","Female","all","NABTEB","University","ward","Bolori II","North East","Borno","Maiduguri","Bolori II","","49","48","27","7","7","0","1","21","20","0"
"2019/2020","Female","all","NABTEB","University","ward","Bulablin","North East","Borno","Maiduguri","Bulablin","","105","103","58","26","28","0","2","45","32","0"
"2019/2020","Female","all","NECO","College of Education","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","231","228","139","52","47","5","3","89","88","5"
"2019/2020","Female","all","NECO","College of Education","ward","Dugja","North East","Borno","Biu","Dugja","","381","375","205","57","51","6","6","170","148","6"
"2019/2020","Female","all","NECO","College of Education","ward","Ashigashiya","North East","Borno","Gwoza","Ashigashiya","","352","347","197","75","66","9","5","150","123","9"
"2019/2020","Female","all","NECO","College of Education","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","223","220","121","36","28","8","3","99","85","8"
"2019/2020","Female","all","NECO","College of Education","ward","Dure / Wala / Warabe","North East","Borno","Gwoza","Dure / Wala / Warabe","","511","504","271","87","75","12","7","233","184","12"
"2019/2020","Female","all","NECO","College of Education","ward","Alau","North East","Borno","Jere","Alau","","109","107","59","22","19","3","2","48","38","3"
"2019/2020","Female","all","NECO","College of Education","ward","Bale Galtimari","North East","Borno","Jere","Bale Galtimari","","180","177","104","39","38","1","3","73","65","1"
"2019/2020","Female","all","NECO","College of Education","ward","Dala lawanti","North East","Borno","Jere","Dala lawanti","","107","105","64","31","28","3","2","41","34","3"
"2019/2020","Female","all","NECO","College of Education","ward","Bolori I","North East","Borno","Maiduguri","Bolori I","","353","348","198","70","66","4","5","150","128","4"
"2019/2020","Female","all","NECO","College of Education","ward","Bolori II","North East","Borno","Maiduguri","Bolori II","","142","140","84","35","33","2","2","56","50","2"
"2019/2020","Female","all","NECO","College of Education","ward","Bulablin","North East","Borno","Maiduguri","Bulablin","","289","284","168","65","56","9","5","116","104","9"
"2019/2020","Female","all","NECO","Polytechnic","ward","Buratai","North East","Borno","Biu","Buratai","","248","244","145","57","52","5","4","99","88","5"
"2019/2020","Female","all","NECO","Polytechnic","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","306","302","176","61","52","9","4","126","115","9"
"2019/2020","Female","all","NECO","Polytechnic","ward","Dugja","North East","Borno","Biu","Dugja","","104","102","55","18","14","4","2","47","38","4"
"2019/2020","Female","all","NECO","Polytechnic","ward","Chibok Garu","North East","Borno","Chibok","Chibok Garu","","163","161","102","44","38","6","2","59","58","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Chibok Likama","North East","Borno","Chibok","Chibok Likama","","179","176","102","44","38","6","3","74","58","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Chibok Wuntaku","North East","Borno","Chibok","Chibok Wuntaku","","359","354","202","74","71","3","5","152","129","3"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ashigashiya","North East","Borno","Gwoza","Ashigashiya","","347","341","191","74","66","8","6","150","117","8"
"2019/2020","Female","all","NECO","Polytechnic","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","205","202","113","39","33","6","3","89","74","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Alau","North East","Borno","Jere","Alau","","333","328","195","74","71","3","5","133","121","3"
"2019/2020","Female","all","NECO","Polytechnic","ward","Bale Galtimari","North East","Borno","Jere","Bale Galtimari","","102","100","57","26","23","3","2","43","32","3"
"2019/2020","Female","all","NECO","Polytechnic","ward","Dala lawanti","North East","Borno","Jere","Dala lawanti","","107","105","64","26","23","3","2","41","39","3"
"2019/2020","Female","all","NECO","Polytechnic","ward","Bolori I","North East","Borno","Maiduguri","Bolori I","","364","359","204","70","61","9","5","155","135","9"
"2019/2020","Female","all","NECO","Polytechnic","ward","Bolori II","North East","Borno","Maiduguri","Bolori II","","368","363","209","77","69","8","5","154","132","8"
"2019/2020","Female","all","NECO","University","ward","Buratai","North East","Borno","Biu","Buratai","","404","397","235","110","98","12","7","162","126","12"
"2019/2020","Female","all","NECO","University","ward","Dadin Kowa","North East","Borno","Biu","Dadin Kowa","","124","122","70","31","28","3","2","52","40","3"
"2019/2020","Female","all","NECO","University","ward","Dugja","North East","Borno","Biu","Dugja","","239","235","146","60","56","5","4","89","85","5"
"2019/2020","Female","all","NECO","University","ward","Chibok Garu","North East","Borno","Chibok","Chibok Garu","","371","365","203","62","51","11","6","162","141","11"
"2019/2020","Female","all","NECO","University","ward","Chibok Likama","North East","Borno","Chibok","Chibok Likama","","397","392","209","66","56","10","5","183","143","10"
"2019/2020","Female","all","NECO","University","ward","Chibok Wuntaku","North East","Borno","Chibok","Chibok Wuntaku","","282","278","152","61","57","4","4","126","91","4"
"2019/2020","Female","all","NECO","University","ward","Bita / Izge","North East","Borno","Gwoza","Bita / Izge","","150","148","86","35","33","2","2","62","52","2"
"2019/2020","Female","all","NECO","University","ward","Dure / Wala / Warabe","North East","Borno","Gwoza","Dure / Wala / Warabe","","189","186","100","39","33","6","3","86","61","6"
"2019/2020","Female","all","NECO","University","ward","Alau","North East","Borno","Jere","Alau","","189","186","111","44","38","6","3","75","67","6"
