"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alim-Gora","North East","Taraba","Ardo Kola","Alim-Gora","","192","189","116","37","32","6","3","73","80","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ardo Kola","North East","Taraba","Ardo Kola","Ardo Kola","","70","69","44","15","16","0","1","25","29","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Akate","North East","Taraba","Donga","Akate","","73","72","51","21","16","6","1","21","29","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Asibiti","North East","Taraba","Donga","Asibiti","","202","199","131","44","32","12","3","68","87","12"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bikadarko","North East","Taraba","Donga","Bikadarko","","113","111","72","30","25","5","2","39","43","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abbare Yelwa","North East","Taraba","Jalingo","Abbare Yelwa","","147","145","90","37","32","6","2","55","53","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Barade","North East","Taraba","Jalingo","Barade","","67","66","43","15","16","0","1","23","29","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Kachalla Sembe","North East","Taraba","Jalingo","Kachalla Sembe","","163","161","98","30","32","0","2","63","69","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gembu 'A'","North East","Taraba","Sardauna","Gembu 'A'","","168","166","111","44","40","5","2","55","67","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gembu 'B'","North East","Taraba","Sardauna","Gembu 'B'","","216","212","137","52","48","6","4","75","85","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Kabri","North East","Taraba","Sardauna","Kabri","","160","157","102","44","40","5","3","55","58","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Akwana","North East","Taraba","Wukari","Akwana","","58","57","35","22","24","0","1","22","13","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Avyi","North East","Taraba","Wukari","Avyi","","214","211","139","66","57","9","3","72","74","9"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bantaje","North East","Taraba","Wukari","Bantaje","","142","140","90","37","40","0","2","50","53","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Alim-Gora","North East","Taraba","Ardo Kola","Alim-Gora","","123","121","82","30","32","0","2","39","52","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ardo Kola","North East","Taraba","Ardo Kola","Ardo Kola","","207","204","137","60","48","12","3","67","77","12"
