session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,ward,Egbe/Agodo,South West,Lagos,Alimosho,Egbe/Agodo,,95,94,67,27,21,6,1,27,40,6
2019/2020,Female,all,NABTEB,College of Education,ward,Adekunle Vill./Adeniyi Jones/Ogba,South West,Lagos,Ikeja,Adekunle Vill./Adeniyi Jones/Ogba,,112,110,71,27,21,6,2,39,44,6
2019/2020,Female,all,NABTEB,College of Education,ward,Airport/Onipetesi/Inilekere,South West,Lagos,Ikeja,Airport/Onipetesi/Inilekere,,282,278,187,68,56,12,4,91,119,12
2019/2020,Female,all,NABTEB,College of Education,ward,Alausa/Oregun/Olusosun,South West,Lagos,Ikeja,Alausa/Oregun/Olusosun,,71,70,49,20,21,0,1,21,29,0
2019/2020,Female,all,NABTEB,College of Education,ward,Agboyi II,South West,Lagos,Kosofe,Agboyi II,,112,110,76,34,28,6,2,34,42,6
2019/2020,Female,all,NABTEB,College of Education,ward,Anikantamo,South West,Lagos,Lagos Island,Anikantamo,,306,302,213,82,71,11,4,89,131,11
2019/2020,Female,all,NABTEB,College of Education,ward,Eiyekole,South West,Lagos,Lagos Island,Eiyekole,,119,117,76,27,21,6,2,41,49,6
2019/2020,Female,all,NABTEB,College of Education,ward,Adeniran/Ogunsanya,South West,Lagos,Surulere,Adeniran/Ogunsanya,,162,160,107,40,42,0,2,53,67,0
2019/2020,Female,all,NABTEB,College of Education,ward,Aguda,South West,Lagos,Surulere,Aguda,,270,266,182,68,64,5,4,84,114,5
2019/2020,Female,all,NABTEB,College of Education,ward,Akinhanmi/Cole,South West,Lagos,Surulere,Akinhanmi/Cole,,75,74,49,20,21,0,1,25,29,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Abule-Egba/Aboru/Meiran/Alagbado,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,,222,219,147,61,56,6,3,72,86,6
