"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alkaleri","North East","Bauchi","Alkaleri","Alkaleri","","87","83","87","65","56","33","4","0","22","9"
"2019/2020","Female","all","NABTEB","College of Education","ward","Birin/ Gigara/ Yankari","North East","Bauchi","Alkaleri","Birin/ Gigara/ Yankari","","85","83","51","27","23","4","2","32","24","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Futuk","North East","Bauchi","Alkaleri","Futuk","","49","48","29","11","11","0","1","19","18","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gar","North East","Bauchi","Alkaleri","Gar","","31","30","16","4","4","0","1","14","12","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gwana / Mansur","North East","Bauchi","Alkaleri","Gwana / Mansur","","77","76","42","13","9","4","1","34","29","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gwaram","North East","Bauchi","Alkaleri","Gwaram","","67","66","39","13","13","0","1","27","26","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Maimadi","North East","Bauchi","Alkaleri","Maimadi","","32","32","22","13","13","0","0","10","9","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Pali","North East","Bauchi","Alkaleri","Pali","","47","46","29","9","9","0","1","17","20","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Yuli/ Lim","North East","Bauchi","Alkaleri","Yuli/ Lim","","67","66","40","13","13","0","1","26","27","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Birshi/Miri","North East","Bauchi","Bauchi","Birshi/Miri","","143","141","83","27","27","0","2","58","56","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dandango/Yamrat","North East","Bauchi","Bauchi","Dandango/Yamrat","","70","69","42","18","13","4","1","27","24","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Kundum/Durum","North East","Bauchi","Bauchi","Kundum/Durum","","134","131","82","30","23","7","3","49","52","7"
