"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward II Court/ Ada Allison","South South","Rivers","Bonny","Ward II Court/ Ada Allison","","348","343","186","64","57","8","5","157","122","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","265","261","148","48","43","6","4","113","100","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","64","63","34","15","12","3","1","29","20","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","64","63","36","11","12","0","1","27","26","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alesa","South South","Rivers","Eleme","Alesa","","147","145","91","30","27","3","2","54","62","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","88","87","48","15","12","3","1","39","34","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Elelenwo (3B)","South South","Rivers","Obio-Akpor","Elelenwo (3B)","","85","84","45","15","12","3","1","39","31","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Oro-Igwe","South South","Rivers","Obio-Akpor","Oro-Igwe","","202","199","114","37","34","3","3","85","77","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Kalio","South South","Rivers","Okrika","Kalio","","84","83","51","19","15","4","1","32","32","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abuloma/Amadi-Ama","South South","Rivers","Port Harcourt","Abuloma/Amadi-Ama","","73","72","45","15","15","0","1","27","31","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Diobu","South South","Rivers","Port Harcourt","Diobu","","203","200","115","38","30","8","3","85","78","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Elekahia","South South","Rivers","Port Harcourt","Elekahia","","124","122","68","26","23","3","2","54","43","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","118","116","62","19","15","4","2","54","44","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","200","197","112","38","30","8","3","85","75","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","52","51","31","14","12","3","1","20","16","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Akpajo","South South","Rivers","Eleme","Akpajo","","155","153","89","30","27","4","2","64","60","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Alesa","South South","Rivers","Eleme","Alesa","","210","207","121","37","34","3","3","86","84","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","109","107","57","15","15","0","2","50","43","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Elelenwo (3B)","South South","Rivers","Obio-Akpor","Elelenwo (3B)","","300","296","169","57","46","11","4","127","112","11"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Oro-Igwe","South South","Rivers","Obio-Akpor","Oro-Igwe","","239","235","125","38","30","8","4","110","87","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Kalio","South South","Rivers","Okrika","Kalio","","69","68","39","15","12","3","1","29","24","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ogoloma I","South South","Rivers","Okrika","Ogoloma I","","85","84","45","15","12","3","1","39","31","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abuloma/Amadi-Ama","South South","Rivers","Port Harcourt","Abuloma/Amadi-Ama","","203","200","114","34","27","7","3","86","81","7"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Diobu","South South","Rivers","Port Harcourt","Diobu","","134","132","71","23","19","4","2","61","48","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Elekahia","South South","Rivers","Port Harcourt","Elekahia","","129","127","77","26","23","3","2","50","51","3"
"2019/2020","Female","all","NABTEB","University","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","111","109","65","22","19","3","2","44","43","3"
"2019/2020","Female","all","NABTEB","University","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","200","197","120","45","43","3","3","77","76","3"
"2019/2020","Female","all","NABTEB","University","ward","Akpajo","South South","Rivers","Eleme","Akpajo","","183","180","100","30","27","3","3","80","71","3"
"2019/2020","Female","all","NABTEB","University","ward","Alesa","South South","Rivers","Eleme","Alesa","","123","121","71","22","19","3","2","50","49","3"
"2019/2020","Female","all","NABTEB","University","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","183","180","97","26","27","0","3","83","72","0"
"2019/2020","Female","all","NABTEB","University","ward","Kalio","South South","Rivers","Okrika","Kalio","","177","174","95","34","30","4","3","79","62","4"
"2019/2020","Female","all","NABTEB","University","ward","Ogan","South South","Rivers","Okrika","Ogan","","292","288","164","60","49","12","4","124","104","12"
"2019/2020","Female","all","NABTEB","University","ward","Ogoloma I","South South","Rivers","Okrika","Ogoloma I","","246","242","141","48","47","3","4","101","93","3"
"2019/2020","Female","all","NABTEB","University","ward","Abuloma/Amadi-Ama","South South","Rivers","Port Harcourt","Abuloma/Amadi-Ama","","90","89","54","15","12","3","1","35","39","3"
"2019/2020","Female","all","NABTEB","University","ward","Diobu","South South","Rivers","Port Harcourt","Diobu","","58","57","34","11","12","0","1","23","24","0"
"2019/2020","Female","all","NABTEB","University","ward","Elekahia","South South","Rivers","Port Harcourt","Elekahia","","132","130","71","26","24","3","2","59","46","3"
"2019/2020","Female","all","NECO","College of Education","ward","Ward II Court/ Ada Allison","South South","Rivers","Bonny","Ward II Court/ Ada Allison","","643","633","356","136","127","9","10","277","220","9"
"2019/2020","Female","all","NECO","College of Education","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","536","528","305","125","114","11","8","223","180","11"
"2019/2020","Female","all","NECO","College of Education","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","128","126","72","32","31","1","2","54","40","1"
"2019/2020","Female","all","NECO","College of Education","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","94","93","48","20","18","2","1","45","29","2"
"2019/2020","Female","all","NECO","College of Education","ward","Alesa","South South","Rivers","Eleme","Alesa","","258","254","145","65","57","8","4","109","81","8"
"2019/2020","Female","all","NECO","College of Education","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","172","169","96","36","35","1","3","73","61","1"
"2019/2020","Female","all","NECO","College of Education","ward","Elelenwo (3B)","South South","Rivers","Obio-Akpor","Elelenwo (3B)","","149","147","83","32","31","1","2","64","52","1"
"2019/2020","Female","all","NECO","College of Education","ward","Oro-Igwe","South South","Rivers","Obio-Akpor","Oro-Igwe","","380","374","207","77","70","7","6","167","130","7"
"2019/2020","Female","all","NECO","College of Education","ward","Kalio","South South","Rivers","Okrika","Kalio","","173","170","102","41","35","6","3","68","61","6"
"2019/2020","Female","all","NECO","College of Education","ward","Abuloma/Amadi-Ama","South South","Rivers","Port Harcourt","Abuloma/Amadi-Ama","","115","113","64","28","26","2","2","49","36","2"
"2019/2020","Female","all","NECO","College of Education","ward","Diobu","South South","Rivers","Port Harcourt","Diobu","","415","409","236","98","87","11","6","173","138","11"
"2019/2020","Female","all","NECO","College of Education","ward","Elekahia","South South","Rivers","Port Harcourt","Elekahia","","195","192","105","41","35","6","3","87","64","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","245","241","135","45","39","6","4","106","91","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","411","405","222","89","79","10","6","183","134","10"
"2019/2020","Female","all","NECO","Polytechnic","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","94","93","55","24","22","2","1","38","32","2"
"2019/2020","Female","all","NECO","Polytechnic","ward","Akpajo","South South","Rivers","Eleme","Akpajo","","271","267","149","57","48","9","4","118","92","9"
"2019/2020","Female","all","NECO","Polytechnic","ward","Alesa","South South","Rivers","Eleme","Alesa","","398","392","232","85","79","6","6","160","148","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","232","229","125","41","35","6","3","104","84","6"
"2019/2020","Female","all","NECO","Polytechnic","ward","Elelenwo (3B)","South South","Rivers","Obio-Akpor","Elelenwo (3B)","","606","597","331","122","113","9","9","266","209","9"
"2019/2020","Female","all","NECO","Polytechnic","ward","Oro-Igwe","South South","Rivers","Obio-Akpor","Oro-Igwe","","494","486","265","94","83","11","8","221","172","11"
"2019/2020","Female","all","NECO","Polytechnic","ward","Kalio","South South","Rivers","Okrika","Kalio","","131","129","77","32","31","1","2","52","45","1"
"2019/2020","Female","all","NECO","Polytechnic","ward","Ogoloma I","South South","Rivers","Okrika","Ogoloma I","","168","165","91","36","35","1","3","74","55","1"
