"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abakpa","South East","Ebonyi","Abakaliki","Abakpa","","47","46","30","10","11","0","1","16","21","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abaomege","South East","Ebonyi","Abakaliki","Abaomege","","47","46","28","10","11","0","1","18","19","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amata-Akpoha","South East","Ebonyi","Afikpo North","Amata-Akpoha","","71","70","44","17","14","3","1","26","28","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ezeke Amasiri","South East","Ebonyi","Afikpo North","Ezeke Amasiri","","171","169","100","31","25","6","2","69","69","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amaeke Ekoli","South East","Ebonyi","Afikpo South","Amaeke Ekoli","","78","77","47","14","11","3","1","30","34","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amangwu","South East","Ebonyi","Afikpo South","Amangwu","","94","93","59","17","14","3","1","34","43","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Inyere","South East","Ebonyi","Ezza North","Inyere","","170","168","96","31","25","6","2","72","66","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amaechi okposi","South East","Ebonyi","Ohaozara","Amaechi okposi","","76","75","47","17","14","3","1","28","31","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Mgbom Okposi","South East","Ebonyi","Ohaozara","Mgbom Okposi","","96","95","59","21","18","3","1","36","39","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abakpa","South East","Ebonyi","Abakaliki","Abakpa","","71","70","42","17","14","3","1","28","26","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abofia","South East","Ebonyi","Abakaliki","Abofia","","191","189","116","42","36","6","2","73","75","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amata-Akpoha","South East","Ebonyi","Afikpo North","Amata-Akpoha","","166","164","107","42","36","6","2","57","65","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amogu Akpoha","South East","Ebonyi","Afikpo North","Amogu Akpoha","","144","142","88","31","29","3","2","54","58","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ezeke Amasiri","South East","Ebonyi","Afikpo North","Ezeke Amasiri","","195","192","111","34","28","6","3","81","77","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amaigbo","South East","Ebonyi","Afikpo South","Amaigbo","","42","41","23","10","11","0","1","18","14","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amangwu","South East","Ebonyi","Afikpo South","Amangwu","","51","50","30","7","7","0","1","20","24","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amuda / Amawula","South East","Ebonyi","Ezza North","Amuda / Amawula","","180","177","114","34","29","5","3","63","81","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ekka","South East","Ebonyi","Ezza North","Ekka","","131","129","81","31","25","6","2","48","50","6"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amaechi okposi","South East","Ebonyi","Ohaozara","Amaechi okposi","","56","55","35","14","14","0","1","20","22","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Mgbom Okposi","South East","Ebonyi","Ohaozara","Mgbom Okposi","","43","42","24","10","11","0","1","18","14","0"
"2019/2020","Female","all","NABTEB","University","ward","Abakpa","South East","Ebonyi","Abakaliki","Abakpa","","135","133","83","27","25","3","2","50","57","3"
"2019/2020","Female","all","NABTEB","University","ward","Abaomege","South East","Ebonyi","Abakaliki","Abaomege","","282","279","162","48","39","9","3","117","114","9"
"2019/2020","Female","all","NABTEB","University","ward","Abofia","South East","Ebonyi","Abakaliki","Abofia","","111","109","64","24","22","3","2","45","40","3"
"2019/2020","Female","all","NABTEB","University","ward","Amata-Akpoha","South East","Ebonyi","Afikpo North","Amata-Akpoha","","63","62","36","10","11","0","1","26","26","0"
"2019/2020","Female","all","NABTEB","University","ward","Amogu Akpoha","South East","Ebonyi","Afikpo North","Amogu Akpoha","","108","106","64","17","14","3","2","42","48","3"
"2019/2020","Female","all","NABTEB","University","ward","Amaeke Ekoli","South East","Ebonyi","Afikpo South","Amaeke Ekoli","","239","236","137","37","32","6","3","99","100","6"
"2019/2020","Female","all","NABTEB","University","ward","Amaigbo","South East","Ebonyi","Afikpo South","Amaigbo","","260","256","153","52","43","9","4","103","101","9"
"2019/2020","Female","all","NABTEB","University","ward","Amangwu","South East","Ebonyi","Afikpo South","Amangwu","","172","169","102","31","25","6","3","67","71","6"
"2019/2020","Female","all","NABTEB","University","ward","Amuda / Amawula","South East","Ebonyi","Ezza North","Amuda / Amawula","","126","124","75","21","18","3","2","49","55","3"
"2019/2020","Female","all","NABTEB","University","ward","Ekka","South East","Ebonyi","Ezza North","Ekka","","125","123","73","27","25","3","2","50","47","3"
"2019/2020","Female","all","NABTEB","University","ward","Inyere","South East","Ebonyi","Ezza North","Inyere","","138","136","84","31","29","3","2","52","53","3"
"2019/2020","Female","all","NABTEB","University","ward","Amaechi okposi","South East","Ebonyi","Ohaozara","Amaechi okposi","","186","184","109","41","36","5","2","75","69","5"
"2019/2020","Female","all","NABTEB","University","ward","Ene- Na - Ezeraku","South East","Ebonyi","Ohaozara","Ene- Na - Ezeraku","","305","300","189","58","54","5","5","111","131","5"
"2019/2020","Female","all","NABTEB","University","ward","Mgbom Okposi","South East","Ebonyi","Ohaozara","Mgbom Okposi","","153","151","100","38","36","2","2","51","62","2"
"2019/2020","Female","all","NECO","College of Education","ward","Abakpa","South East","Ebonyi","Abakaliki","Abakpa","","77","76","46","18","16","2","1","30","29","2"
"2019/2020","Female","all","NECO","College of Education","ward","Abaomege","South East","Ebonyi","Abakaliki","Abaomege","","78","77","47","18","15","3","1","30","29","3"
