"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ewu I","South South","Edo","Esan Central","Ewu I","","121","119","76","34","35","0","2","43","41","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ewu II","South South","Edo","Esan Central","Ewu II","","147","145","89","34","30","4","2","56","55","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ikekato","South South","Edo","Esan Central","Ikekato","","114","112","67","31","26","5","2","45","37","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Anwain","South South","Edo","Etsako West","Anwain","","71","70","42","20","15","5","1","28","23","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Auchi I","South South","Edo","Etsako West","Auchi I","","154","152","97","41","36","5","2","55","56","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gra/Etete","South South","Edo","Oredo","Gra/Etete","","291","286","182","80","67","13","5","104","103","13"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ibiwe/ Iwegie/ Ugbague","South South","Edo","Oredo","Ibiwe/ Iwegie/ Ugbague","","228","225","136","40","35","5","3","89","97","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road","South South","Edo","Oredo","Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road","","136","134","85","36","31","5","2","49","49","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Emai I","South South","Edo","Owan East","Emai I","","349","344","209","75","61","14","5","135","134","14"
"2019/2020","Female","all","NABTEB","College of Education","ward","Emai II","South South","Edo","Owan East","Emai II","","142","140","86","34","30","4","2","54","52","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Igue/Ikao","South South","Edo","Owan East","Igue/Ikao","","187","185","116","50","42","8","2","69","67","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ewu I","South South","Edo","Esan Central","Ewu I","","105","103","67","25","21","4","2","36","42","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ikekato","South South","Edo","Esan Central","Ikekato","","62","61","39","15","15","0","1","22","24","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Anwain","South South","Edo","Etsako West","Anwain","","159","157","93","40","37","4","2","64","54","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Auchi","South South","Edo","Etsako West","Auchi","","147","145","87","35","30","5","2","58","52","5"
