session,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count
2019/2020,all,NABTEB,1808356,1256568,1159892,400416,408648,369332
2019/2020,all,NECO,3378756,2115400,2167148,748676,760152,685584
2019/2020,all,WAEC,4330568,2952728,2777680,959892,984160,892084
2019/2020,disabled,NABTEB,230868,160372,134264,46200,55332,58956
2019/2020,disabled,NECO,374384,234576,223196,77264,77660,83588
2019/2020,disabled,WAEC,476316,324784,286496,99360,86108,92604
2020/2021,all,NABTEB,1939756,1395036,1255888,459716,434008,391304
2020/2021,all,NECO,3593660,2368704,2326664,852540,800624,720548
2020/2021,all,WAEC,4675824,3338392,3027328,1108600,1052688,952068
2020/2021,disabled,NABTEB,248156,178656,145320,52988,65176,68920
2020/2021,disabled,NECO,398472,262732,240344,88064,83016,88568
2020/2021,disabled,WAEC,513584,366684,311672,113740,92324,98912
2021/2022,all,NABTEB,2089292,1567880,1359660,537196,473888,429332
2021/2022,all,NECO,3826716,2647076,2490336,984564,864684,782136
2021/2022,all,WAEC,5080312,3787408,3306124,1306260,1159468,1053492
2021/2022,disabled,NABTEB,267244,200448,156064,61508,76692,81048
2021/2022,disabled,NECO,424808,294056,258352,102420,90316,97024
2021/2022,disabled,WAEC,559204,416784,340920,134484,101844,108944
2022/2023,all,NABTEB,2042676,1496036,1303304,482100,456624,410936
2022/2023,all,NECO,3762808,2464096,2400832,886904,837404,751984
2022/2023,all,WAEC,4945396,3495036,3155384,1165008,1111732,1003600
2022/2023,disabled,NABTEB,261256,190900,148980,55460,77336,81796
2022/2023,disabled,NECO,416800,272984,249252,92232,87104,92044
2022/2023,disabled,WAEC,542988,383960,325008,119728,97044,103192
2023/2024,all,NABTEB,2125072,1656072,1415692,577276,502724,455304
2023/2024,all,NECO,3869852,2746136,2578032,1051132,910632,823168
2023/2024,all,WAEC,5189676,3946716,3457276,1410216,1233924,1120768
2023/2024,disabled,NABTEB,271596,211348,161364,65736,88344,93216
2023/2024,disabled,NECO,428592,304000,267528,108664,93540,99760
2023/2024,disabled,WAEC,570704,433908,356844,145612,107968,114512
2024/2025,all,NABTEB,2163192,1640576,1492436,585976,523368,473212
2024/2025,all,NECO,3916524,2689288,2702080,1062288,943396,851232
2024/2025,all,WAEC,5305484,3939804,3660364,1438548,1290916,1170676
2024/2025,disabled,NABTEB,276208,209356,169312,65932,92848,97776
2024/2025,disabled,NECO,434808,298244,281644,110828,96000,102152
2024/2025,disabled,WAEC,584372,433904,378848,148772,112584,118700
