lga_key,lga,state_key,state,zone
gboko,Gboko,benue,Benue,North Central
makurdi,Makurdi,benue,Benue,North Central
otukpo,Oturkpo,benue,Benue,North Central
katsina-ala,Katsina-Ala,benue,Benue,North Central
vandeikya,Vandeikya,benue,Benue,North Central
abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central
bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central
gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central
kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central
kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central
lokoja,Lokoja,kogi,Kogi,North Central
okene,Okene,kogi,Kogi,North Central
kabba-bunu,Kabba/Bunu,kogi,Kogi,North Central
idah,Idah,kogi,Kogi,North Central
ankpa,Ankpa,kogi,Kogi,North Central
ilorin-east,Ilorin East,kwara,Kwara,North Central
ilorin-west,Ilorin West,kwara,Kwara,North Central
offa,Offa,kwara,Kwara,North Central
ekiti,Ekiti,kwara,Kwara,North Central
edu,Edu,kwara,Kwara,North Central
lafia,Lafia,nasarawa,Nasarawa,North Central
keffi,Keffi,nasarawa,Nasarawa,North Central
akwanga,Akwanga,nasarawa,Nasarawa,North Central
nasarawa,Nasarawa,nasarawa,Nasarawa,North Central
doma,Doma,nasarawa,Nasarawa,North Central
chanchaga,Chanchaga,niger,Niger,North Central
kontagora,Kontagora,niger,Niger,North Central
suleja,Suleja,niger,Niger,North Central
bida,Bida,niger,Niger,North Central
agaie,Agaie,niger,Niger,North Central
jos-north,Jos North,plateau,Plateau,North Central
jos-south,Jos South,plateau,Plateau,North Central
barkin-ladi,Barkin Ladi,plateau,Plateau,North Central
mangu,Mangu,plateau,Plateau,North Central
pankshin,Pankshin,plateau,Plateau,North Central
yola-north,Yola North,adamawa,Adamawa,North East
yola-south,Yola South,adamawa,Adamawa,North East
numan,Numan,adamawa,Adamawa,North East
mubi-north,Mubi North,adamawa,Adamawa,North East
gombe,Gombe,gombe,Gombe,North East
yamaltu-deba,Yamaltu/Deba,gombe,Gombe,North East
kaltungo,Kaltungo,gombe,Gombe,North East
balanga,Balanga,gombe,Gombe,North East
nafada,Nafada,gombe,Gombe,North East
jalingo,Jalingo,taraba,Taraba,North East
wukari,Wukari,taraba,Taraba,North East
sardauna,Sardauna,taraba,Taraba,North East
ardo-kola,Ardo-Kola,taraba,Taraba,North East
donga,Donga,taraba,Taraba,North East
damaturu,Damaturu,yobe,Yobe,North East
potiskum,Potiskum,yobe,Yobe,North East
nguru,Nguru,yobe,Yobe,North East
bade,Bade,yobe,Yobe,North East
geidam,Geidam,yobe,Yobe,North East
kaduna-north,Kaduna North,kaduna,Kaduna,North West
kaduna-south,Kaduna South,kaduna,Kaduna,North West
