school_key,school,ward_key,ward,lga_key,lga,state_key,state,zone,ownership,school_level
benue-gboko-gbkcentral-market-school-1,"Government Secondary School, Gbk/Central Market",benue-gboko-gbkcentral-market,Gbk/Central Market,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gbkcentral-market-school-2,"Community Secondary School, Gbk/Central Market",benue-gboko-gbkcentral-market,Gbk/Central Market,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gbkcentral-market-school-3,"Unity College, Gboko",benue-gboko-gbkcentral-market,Gbk/Central Market,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gbkcentral-market-school-4,"Comprehensive High School, Gbk/Central Market",benue-gboko-gbkcentral-market,Gbk/Central Market,gboko,Gboko,benue,Benue,North Central,Private,Secondary
benue-gboko-gboko-east-school-1,"Government Secondary School, Gboko East",benue-gboko-gboko-east,Gboko East,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-east-school-2,"Community Secondary School, Gboko East",benue-gboko-gboko-east,Gboko East,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-east-school-3,"Unity College, Gboko",benue-gboko-gboko-east,Gboko East,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-east-school-4,"Comprehensive High School, Gboko East",benue-gboko-gboko-east,Gboko East,gboko,Gboko,benue,Benue,North Central,Private,Secondary
benue-gboko-gboko-north-west-school-1,"Government Secondary School, Gboko North West",benue-gboko-gboko-north-west,Gboko North West,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-north-west-school-2,"Community Secondary School, Gboko North West",benue-gboko-gboko-north-west,Gboko North West,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-north-west-school-3,"Unity College, Gboko",benue-gboko-gboko-north-west,Gboko North West,gboko,Gboko,benue,Benue,North Central,Public,Secondary
benue-gboko-gboko-north-west-school-4,"Comprehensive High School, Gboko North West",benue-gboko-gboko-north-west,Gboko North West,gboko,Gboko,benue,Benue,North Central,Private,Secondary
