ward_key,ward,lga_key,lga,state_key,state,zone
benue-gboko-gbkcentral-market,Gbk/Central Market,gboko,Gboko,benue,Benue,North Central
benue-gboko-gboko-east,Gboko East,gboko,Gboko,benue,Benue,North Central
benue-gboko-gboko-north-west,Gboko North West,gboko,Gboko,benue,Benue,North Central
benue-makurdi-agan,Agan,makurdi,Makurdi,benue,Benue,North Central
benue-makurdi-ankpawadata,Ankpa/Wadata,makurdi,Makurdi,benue,Benue,North Central
benue-makurdi-bar,Bar,makurdi,Makurdi,benue,Benue,North Central
benue-otukpo-adoka-haje,Adoka-Haje,otukpo,Oturkpo,benue,Benue,North Central
benue-otukpo-adoka-icho,Adoka-Icho,otukpo,Oturkpo,benue,Benue,North Central
benue-otukpo-allan,Allan,otukpo,Oturkpo,benue,Benue,North Central
benue-katsina-ala-ikurav-tiev-i,Ikurav Tiev I,katsina-ala,Katsina-Ala,benue,Benue,North Central
benue-katsina-ala-ikurav-tiev-ii,Ikurav Tiev II,katsina-ala,Katsina-Ala,benue,Benue,North Central
benue-katsina-ala-iwar-tongov-i,Iwar(Tongov I),katsina-ala,Katsina-Ala,benue,Benue,North Central
benue-vandeikya-mbadede,Mbadede,vandeikya,Vandeikya,benue,Benue,North Central
benue-vandeikya-mbagbam,Mbagbam,vandeikya,Vandeikya,benue,Benue,North Central
benue-vandeikya-mbagbera,Mbagbera,vandeikya,Vandeikya,benue,Benue,North Central
federal-capital-territory-abuja-municipal-area-council-city-centre,City Centre,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central
federal-capital-territory-abuja-municipal-area-council-garki,Garki,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central
federal-capital-territory-abuja-municipal-area-council-gui,Gui,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central
federal-capital-territory-bwari-bwari-central,Bwari Central,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central
federal-capital-territory-bwari-byazhin,Byazhin,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central
federal-capital-territory-bwari-dutse-alhaji,Dutse Alhaji,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central
