programme_key,programme_cluster,discipline_group,programme
english-and-literary-studies,Non-STEMM,ART,English and Literary Studies
law,Non-STEMM,ART,Law
english-education,Non-STEMM,Education,English Education
accounting,Non-STEMM,Social Sciences,Accounting
banking-and-finance,Non-STEMM,Social Sciences,Banking and Finance
business-administration,Non-STEMM,Social Sciences,Business Administration
economics,Non-STEMM,Social Sciences,Economics
mass-communication,Non-STEMM,Social Sciences,Mass Communication
political-science,Non-STEMM,Social Sciences,Political Science
public-administration,Non-STEMM,Social Sciences,Public Administration
sociology,Non-STEMM,Social Sciences,Sociology
computer-science,STEMM,Computing / ICT,Computer Science
software-engineering,STEMM,Computing / ICT,Software Engineering
civil-engineering,STEMM,Engineering,Civil Engineering
electrical-and-electronics-engineering,STEMM,Engineering,Electrical and Electronics Engineering
mechanical-engineering,STEMM,Engineering,Mechanical Engineering
medical-laboratory-science,STEMM,Health Sciences,Medical Laboratory Science
data-science,STEMM,Mathematics / Statistics,Data Science
medicine-and-surgery,STEMM,Medicine / Health Sciences,Medicine and Surgery
nursing-science,STEMM,Medicine / Health Sciences,Nursing Science
information-technology,STEMM,Technology / ICT,Information Technology
