session,zone,state,lga,ward,school,gender,disability_scope,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Central Primary School,Female,all,NABTEB,College of Education,626,594,626,465,400,238,2.1,32,0,161,65
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Alkaleri Islamiya Primary School,Female,all,NECO,College of Education,105,104,61,17,15,1,2.0,1,43,44,2
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Ambassadors Academy,Female,all,WAEC,College of Education,127,125,75,22,18,4,2.0,2,50,53,4
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Bayan Banki Primary School Alkaleri,Female,disabled,NABTEB,College of Education,6,6,3,0,0,0,2.1,0,3,3,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Bunga Primary School,Female,disabled,NECO,College of Education,10,10,5,0,0,0,2.0,0,5,5,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,disabled,WAEC,College of Education,13,13,7,0,0,0,2.0,0,6,7,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Male,all,NABTEB,College of Education,54,53,33,9,9,0,2.1,1,20,24,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Federal Low Cost Primary School,Male,all,NECO,College of Education,100,98,56,13,11,2,2.0,2,42,43,2
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,all,WAEC,College of Education,136,134,80,22,21,1,2.0,2,54,58,1
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Male,disabled,NABTEB,College of Education,6,6,3,0,0,0,2.1,0,3,3,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondry School Kumbala,Male,disabled,NECO,College of Education,10,10,6,0,0,0,2.0,0,4,6,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Gumli Nomadic Primary School,Male,disabled,WAEC,College of Education,11,11,6,0,0,0,2.0,0,5,6,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Intergrated Royal Academy Alkaleri,Female,all,NABTEB,University,70,69,39,13,13,0,1.8,1,30,26,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Jamda Primary School,Female,all,NECO,University,128,126,75,23,23,0,1.8,2,51,52,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Kargo Primary School,Female,all,WAEC,University,174,171,107,34,30,3,1.8,3,64,73,4
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Kuka Primary School,Female,disabled,NABTEB,University,10,10,5,0,0,0,1.8,0,5,5,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Londo Primary School,Female,disabled,NECO,University,15,15,8,3,3,0,1.8,0,7,5,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Natsira Primary School,Female,disabled,WAEC,University,22,22,11,2,3,0,1.8,0,11,9,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Rapid Result Academy Nursery - Primary School,Male,all,NABTEB,University,83,82,47,13,9,4,1.8,1,35,34,4
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Scholars Academy Alkaleri,Male,all,NECO,University,140,138,85,23,23,0,1.8,2,53,62,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Tudun Wada,Male,all,WAEC,University,195,192,117,34,30,3,1.8,3,75,83,4
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Walakerol Primary School,Male,disabled,NABTEB,University,11,11,5,0,0,0,1.8,0,6,5,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Zange Primary School,Male,disabled,NECO,University,18,18,11,0,0,0,1.8,0,7,11,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Abbas Primary School,Female,disabled,WAEC,Polytechnic,8,8,4,2,3,0,2.0,0,4,2,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Babani Primary School,Male,all,NABTEB,Polytechnic,36,35,22,9,9,0,2.0,1,13,13,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Badaran Dutse Primary School,Male,all,NECO,Polytechnic,74,73,46,17,15,1,2.0,1,27,29,2
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Badol Primary School,Male,all,WAEC,Polytechnic,91,90,57,20,18,1,2.0,1,33,37,2
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Beddare Nomadic Primary School,Male,disabled,NABTEB,Polytechnic,6,6,3,0,0,0,2.0,0,3,3,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Burle Nomadic Primary School,Male,disabled,NECO,Polytechnic,8,8,5,3,3,0,2.0,0,3,2,0
