session,zone,state,lga,ward,school,gender,disability_scope,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,NABTEB,Polytechnic,107,105,68,28,23,5,2.0,2,37,40,5
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,NECO,Polytechnic,184,181,129,52,46,6,2.0,3,52,77,6
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,all,WAEC,Polytechnic,227,224,159,61,53,8,2.0,3,65,98,8
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,NABTEB,Polytechnic,10,10,6,5,6,0,2.0,0,4,1,0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,NECO,Polytechnic,17,17,11,5,5,0,2.0,0,6,6,0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,disabled,WAEC,Polytechnic,24,24,15,5,5,0,2.0,0,9,10,0
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,NABTEB,Polytechnic,112,110,74,28,23,5,2.0,2,36,46,5
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,NECO,Polytechnic,204,201,143,47,41,6,2.0,3,58,96,6
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,all,WAEC,Polytechnic,255,251,174,65,58,7,2.0,4,77,109,7
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,disabled,NABTEB,Polytechnic,10,10,6,0,0,0,2.0,0,4,6,0
