"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","all","NABTEB","University","60","59","41","20","21","0","1.8","1","18","22","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","all","NECO","University","108","106","74","29","27","2","1.8","2","32","45","2"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","all","WAEC","University","152","150","103","38","32","6","1.8","2","47","66","6"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","0","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","disabled","NECO","University","10","10","6","3","3","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Female","disabled","WAEC","University","13","13","8","4","4","0","1.8","0","5","5","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","all","NABTEB","University","55","54","38","14","14","0","1.8","1","16","23","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","all","NECO","University","114","112","73","28","27","2","1.8","2","39","44","2"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","all","WAEC","University","142","140","98","35","29","6","1.8","2","42","64","6"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","0","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","disabled","NECO","University","10","10","6","3","3","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Community Secondary School, Abogunde/Sagba","Male","disabled","WAEC","University","13","13","8","3","4","0","1.8","0","5","6","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","all","NABTEB","Polytechnic","87","86","60","24","21","4","2.0","1","26","35","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","all","NECO","Polytechnic","160","158","115","45","40","5","2.0","2","43","70","5"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","all","WAEC","Polytechnic","227","224","154","62","58","4","2.0","3","70","93","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","disabled","NABTEB","Polytechnic","10","10","7","4","4","0","2.0","0","3","2","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","disabled","NECO","Polytechnic","21","21","14","4","4","0","2.0","0","7","10","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Female","disabled","WAEC","Polytechnic","27","27","19","7","7","0","2.0","0","8","12","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","all","NABTEB","Polytechnic","106","104","75","30","26","4","2.0","2","29","45","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","all","NECO","Polytechnic","194","191","129","45","40","5","2.0","3","62","84","5"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","all","WAEC","Polytechnic","257","253","183","62","54","8","2.0","4","70","121","8"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","disabled","NABTEB","Polytechnic","13","13","7","5","5","0","2.0","0","6","3","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","disabled","NECO","Polytechnic","23","23","16","4","4","0","2.0","0","7","12","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Comprehensive High School, Abogunde/Sagba","Male","disabled","WAEC","Polytechnic","33","33","22","7","7","0","2.0","0","11","15","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","all","NABTEB","College of Education","47","46","31","10","10","0","2.1","1","15","21","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","all","NECO","College of Education","79","78","51","21","18","3","2.0","1","27","31","3"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","all","WAEC","College of Education","98","97","63","21","18","3","2.0","1","34","43","3"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","disabled","NABTEB","College of Education","8","8","4","0","0","0","2.1","0","4","4","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","disabled","NECO","College of Education","10","10","7","4","4","0","2.0","0","3","3","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Female","disabled","WAEC","College of Education","8","8","3","2","3","0","2.0","0","5","1","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","all","NABTEB","College of Education","51","50","30","5","5","0","2.1","1","20","25","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","all","NECO","College of Education","99","98","58","17","13","4","2.0","1","40","42","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","all","WAEC","College of Education","119","117","80","24","22","2","2.0","2","37","56","2"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","disabled","NABTEB","College of Education","8","8","4","0","0","0","2.1","0","4","4","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","disabled","NECO","College of Education","10","10","5","0","0","0","2.0","0","5","5","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Government Secondary School, Abogunde/Sagba","Male","disabled","WAEC","College of Education","8","8","6","2","3","0","2.0","0","2","3","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","all","NABTEB","University","94","93","66","29","25","4","1.8","1","27","36","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","all","NECO","University","162","160","114","49","44","5","1.8","2","46","66","5"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","all","WAEC","University","221","218","158","71","64","7","1.8","3","60","86","7"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","0","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","disabled","NECO","University","17","17","12","4","4","0","1.8","0","5","8","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Female","disabled","WAEC","University","23","23","14","7","7","0","1.8","0","9","8","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","all","NABTEB","University","95","94","66","30","26","4","1.8","1","28","37","4"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","all","NECO","University","159","157","117","45","40","5","1.8","2","40","73","5"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","all","WAEC","University","226","223","158","61","54","8","1.8","3","65","96","8"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","0","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","disabled","NECO","University","15","15","11","4","4","0","1.8","0","4","7","0"
"2019/2020","South West","Osun","Ede North","Abogunde/Sagba","Unity College, Ede North","Male","disabled","WAEC","University","20","20","12","3","4","0","1.8","0","8","10","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","all","NABTEB","University","53","52","35","10","10","0","1.8","1","17","26","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","all","NECO","University","99","98","65","25","22","3","1.8","1","33","41","3"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","all","WAEC","University","137","135","85","31","25","6","1.8","2","50","55","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","disabled","NECO","University","10","10","6","3","4","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Female","disabled","WAEC","University","15","15","10","4","4","0","1.8","0","5","6","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","all","NABTEB","University","55","54","35","10","10","0","1.8","1","19","25","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","all","NECO","University","99","98","60","25","22","3","1.8","1","38","36","3"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","all","WAEC","University","132","130","90","28","25","3","1.8","2","40","63","3"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","disabled","NECO","University","10","10","6","3","4","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Community Secondary School, Alusekere","Male","disabled","WAEC","University","18","18","10","0","0","0","1.8","0","8","10","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","all","NABTEB","University","68","67","44","20","20","0","1.8","1","23","24","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","all","NECO","University","118","116","83","29","27","2","1.8","2","33","54","2"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","all","WAEC","University","166","164","109","38","32","6","1.8","2","55","72","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","disabled","NABTEB","University","8","8","4","4","4","0","1.8","0","4","0","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","disabled","NECO","University","13","13","9","3","3","0","1.8","0","4","5","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Female","disabled","WAEC","University","21","21","13","4","4","0","1.8","0","8","9","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","all","NABTEB","University","74","73","52","20","20","0","1.8","1","21","33","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","all","NECO","University","137","135","92","33","31","2","1.8","2","43","60","2"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","all","WAEC","University","170","167","108","35","29","6","1.8","3","59","73","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","disabled","NABTEB","University","8","8","5","4","4","0","1.8","0","3","1","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","disabled","NECO","University","16","16","11","4","4","0","1.8","0","5","8","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Comprehensive High School, Alusekere","Male","disabled","WAEC","University","23","23","14","4","4","0","1.8","0","9","11","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","all","NABTEB","Polytechnic","72","71","49","20","15","5","2.0","1","22","30","5"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","all","NECO","Polytechnic","145","143","91","29","27","2","2.0","2","52","62","2"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","all","WAEC","Polytechnic","184","181","116","35","29","6","2.0","3","65","82","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","disabled","NABTEB","Polytechnic","8","8","5","4","4","0","2.0","0","3","1","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","disabled","NECO","Polytechnic","18","18","11","4","4","0","2.0","0","7","7","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Female","disabled","WAEC","Polytechnic","23","23","12","4","4","0","2.0","0","11","9","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","all","NABTEB","Polytechnic","87","86","57","15","10","5","2.0","1","29","42","5"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","all","NECO","Polytechnic","193","190","123","37","31","6","2.0","3","67","86","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","all","WAEC","Polytechnic","213","210","130","35","29","6","2.0","3","80","95","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","disabled","NABTEB","Polytechnic","10","10","5","0","0","0","2.0","0","5","5","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","disabled","NECO","Polytechnic","23","23","14","4","4","0","2.0","0","9","10","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Government Secondary School, Alusekere","Male","disabled","WAEC","Polytechnic","28","28","17","4","4","0","2.0","0","11","14","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","all","NABTEB","University","63","62","46","25","20","5","1.8","1","16","22","5"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","all","NECO","University","114","112","77","32","30","2","1.8","2","35","44","2"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","all","WAEC","University","138","136","95","38","32","6","1.8","2","41","57","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","disabled","NABTEB","University","8","8","5","4","4","0","1.8","0","3","1","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","disabled","NECO","University","10","10","6","3","3","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Female","disabled","WAEC","University","13","13","8","4","4","0","1.8","0","5","5","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","all","NABTEB","University","66","65","44","15","10","5","1.8","1","21","29","5"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","all","NECO","University","112","110","77","29","27","2","1.8","2","33","49","2"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","all","WAEC","University","143","141","99","38","32","6","1.8","2","42","61","6"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","disabled","NABTEB","University","8","8","5","0","0","0","1.8","0","3","5","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","disabled","NECO","University","10","10","6","3","3","0","1.8","0","4","2","0"
"2019/2020","South West","Osun","Ede North","Alusekere","Unity College, Ede North","Male","disabled","WAEC","University","15","15","10","4","4","0","1.8","0","5","6","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","all","NABTEB","University","81","80","55","25","21","4","1.8","1","25","31","4"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","all","NECO","University","155","153","103","37","35","2","1.8","2","50","66","2"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","all","WAEC","University","188","185","120","52","47","5","1.8","3","65","69","5"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","disabled","NABTEB","University","8","8","5","4","4","0","1.8","0","3","1","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","disabled","NECO","University","13","13","9","3","4","0","1.8","0","4","5","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Female","disabled","WAEC","University","18","18","10","3","4","0","1.8","0","8","8","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","all","NABTEB","University","101","100","67","30","26","4","1.8","1","33","37","4"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","all","NECO","University","207","204","146","58","53","5","1.8","3","58","89","5"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","all","WAEC","University","217","214","147","52","43","9","1.8","3","67","96","9"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","disabled","NABTEB","University","8","8","5","4","4","0","1.8","0","3","1","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","disabled","NECO","University","18","18","14","4","4","0","1.8","0","4","10","0"
"2019/2020","South West","Osun","Ede North","Apaso","Community Secondary School, Apaso","Male","disabled","WAEC","University","20","20","12","3","4","0","1.8","0","8","9","0"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","all","NABTEB","Polytechnic","97","96","66","20","15","5","2.0","1","30","47","5"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","all","NECO","Polytechnic","173","170","114","37","35","2","2.0","3","56","78","2"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","all","WAEC","Polytechnic","245","241","155","55","47","8","2.0","4","86","100","8"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","disabled","NABTEB","Polytechnic","10","10","5","0","0","0","2.0","0","5","5","0"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","disabled","NECO","Polytechnic","19","19","11","4","5","0","2.0","0","8","8","0"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Female","disabled","WAEC","Polytechnic","25","25","17","3","4","0","2.0","0","8","14","0"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Male","all","NABTEB","Polytechnic","99","98","68","15","10","5","2.0","1","30","53","5"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Male","all","NECO","Polytechnic","178","175","110","29","27","2","2.0","3","65","81","2"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Male","all","WAEC","Polytechnic","247","243","158","45","40","5","2.0","4","85","114","5"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Male","disabled","NABTEB","Polytechnic","11","11","7","0","0","0","2.0","0","4","7","0"
"2019/2020","South West","Osun","Ede North","Apaso","Comprehensive High School, Apaso","Male","disabled","NECO","Polytechnic","20","20","12","0","0","0","2.0","0","8","12","0"
