"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","all","NABTEB","College of Education","87","86","45","18","14","4","2.1","1","41","28","4"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","all","NECO","College of Education","148","146","83","31","30","1","2.0","2","63","53","1"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","all","WAEC","College of Education","225","222","133","40","37","3","2.0","3","89","94","3"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","disabled","NABTEB","College of Education","7","7","4","0","0","0","2.1","0","4","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","disabled","NECO","College of Education","17","17","9","4","4","0","2.0","0","8","6","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Female","disabled","WAEC","College of Education","24","24","13","3","3","0","2.0","0","11","10","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","all","NABTEB","College of Education","83","82","49","13","10","3","2.1","1","33","36","3"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","all","NECO","College of Education","162","160","88","24","22","2","2.0","2","72","64","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","all","WAEC","College of Education","222","219","123","31","27","4","2.0","3","96","92","4"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","disabled","NABTEB","College of Education","9","9","4","0","0","0","2.1","0","5","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","disabled","NECO","College of Education","18","18","10","4","4","0","2.0","0","8","6","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Community Secondary School, Bambam","Male","disabled","WAEC","College of Education","27","27","15","3","3","0","2.0","0","12","13","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","all","NABTEB","College of Education","54","53","32","13","14","0","2.1","1","21","20","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","all","NECO","College of Education","101","100","62","28","26","2","2.0","1","38","34","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","all","WAEC","College of Education","115","113","69","31","30","1","2.0","2","44","39","1"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","disabled","NABTEB","College of Education","7","7","4","4","4","0","2.1","0","4","0","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","disabled","NECO","College of Education","13","13","8","4","4","0","2.0","0","5","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Female","disabled","WAEC","College of Education","13","13","8","3","3","0","2.0","0","5","5","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","all","NABTEB","College of Education","58","57","34","13","14","0","2.1","1","23","22","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","all","NECO","College of Education","134","132","83","31","30","1","2.0","2","49","52","1"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","all","WAEC","College of Education","154","152","93","31","27","4","2.0","2","59","62","4"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","disabled","NABTEB","College of Education","7","7","4","4","4","0","2.1","0","3","1","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","disabled","NECO","College of Education","18","18","10","4","4","0","2.0","0","8","6","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Comprehensive High School, Bambam","Male","disabled","WAEC","College of Education","18","18","10","3","3","0","2.0","0","8","8","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","all","NABTEB","Polytechnic","51","50","30","9","9","0","2.0","1","20","21","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","all","NECO","Polytechnic","94","93","56","24","22","2","2.0","1","37","32","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","all","WAEC","Polytechnic","120","118","71","25","23","2","2.0","2","47","46","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","disabled","NABTEB","Polytechnic","7","7","4","0","0","0","2.0","0","3","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","disabled","NECO","Polytechnic","7","7","3","3","3","0","2.0","0","4","0","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Female","disabled","WAEC","Polytechnic","11","11","6","3","3","0","2.0","0","5","3","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","all","NABTEB","Polytechnic","56","55","30","9","10","0","2.0","1","25","22","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","all","NECO","Polytechnic","114","112","61","20","17","3","2.0","2","51","41","3"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","all","WAEC","Polytechnic","148","146","82","31","27","4","2.0","2","64","51","4"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","disabled","NABTEB","Polytechnic","7","7","4","0","0","0","2.0","0","4","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","disabled","NECO","Polytechnic","9","9","5","3","3","0","2.0","0","4","2","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Government Secondary School, Bambam","Male","disabled","WAEC","Polytechnic","13","13","8","3","3","0","2.0","0","5","5","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","all","NABTEB","University","45","44","28","13","14","0","1.8","1","16","16","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","all","NECO","University","100","99","61","28","26","2","1.8","1","38","34","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","all","WAEC","University","102","100","60","25","23","2","1.8","2","40","36","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","disabled","NABTEB","University","7","7","4","4","4","0","1.8","0","4","0","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","disabled","NECO","University","7","7","5","3","3","0","1.8","0","2","2","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Female","disabled","WAEC","University","9","9","6","2","2","0","1.8","0","3","3","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","all","NABTEB","University","51","50","30","9","9","0","1.8","1","20","21","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","all","NECO","University","116","114","67","28","26","2","1.8","2","47","39","2"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","all","WAEC","University","137","135","80","28","23","5","1.8","2","55","52","5"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","disabled","NABTEB","University","7","7","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","disabled","NECO","University","9","9","5","3","3","0","1.8","0","4","2","0"
"2019/2020","North East","Gombe","Balanga","Bambam","Unity College, Balanga","Male","disabled","WAEC","University","11","11","6","3","3","0","1.8","0","5","3","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","all","NABTEB","College of Education","45","44","26","13","14","0","2.1","1","18","14","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","all","NECO","College of Education","79","78","50","24","22","2","2.0","1","28","26","2"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","all","WAEC","College of Education","97","96","57","24","23","1","2.0","1","39","33","1"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","disabled","NABTEB","College of Education","7","7","4","4","4","0","2.1","0","3","1","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","disabled","NECO","College of Education","11","11","6","4","4","0","2.0","0","5","2","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Female","disabled","WAEC","College of Education","11","11","6","3","3","0","2.0","0","5","3","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","all","NABTEB","College of Education","43","42","23","9","10","0","2.1","1","19","15","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","all","NECO","College of Education","81","80","48","20","17","3","2.0","1","32","28","3"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","all","WAEC","College of Education","106","104","63","18","17","1","2.0","2","41","46","1"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","disabled","NABTEB","College of Education","7","7","4","0","0","0","2.1","0","4","4","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","disabled","NECO","College of Education","11","11","6","4","4","0","2.0","0","5","2","0"
"2019/2020","North East","Gombe","Balanga","Bangu","Community Secondary School, Bangu","Male","disabled","WAEC","College of Education","13","13","8","3","3","0","2.0","0","5","5","0"
