"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","all","NABTEB","Polytechnic","93","92","73","26","22","4","2.0","1","19","47","4"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","all","NECO","Polytechnic","174","171","125","50","44","6","2.0","3","46","74","6"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","all","WAEC","Polytechnic","238","234","175","65","58","7","2.0","4","59","111","7"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","disabled","NABTEB","Polytechnic","10","10","6","4","4","0","2.0","0","4","2","0"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","disabled","NECO","Polytechnic","13","13","7","4","5","0","2.0","0","6","4","0"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Female","disabled","WAEC","Polytechnic","18","18","12","3","4","0","2.0","0","6","9","0"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Male","all","NABTEB","Polytechnic","103","101","76","25","22","4","2.0","2","25","50","4"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Male","all","NECO","Polytechnic","185","182","130","50","45","6","2.0","3","52","79","6"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Male","all","WAEC","Polytechnic","244","240","178","65","58","7","2.0","4","62","113","7"
"2019/2020","South West","Ondo","Akure North","Agamo/Oke-Oore/Akomowa","Community Secondary School, Agamo/Oke-Oore/Akomowa","Male","disabled","NABTEB","Polytechnic","10","10","7","4","4","0","2.0","0","3","3","0"
