"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","all","NABTEB","Polytechnic","72","71","38","17","17","0","2.0","1","33","22","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","all","NECO","Polytechnic","137","135","73","24","20","4","2.0","2","62","49","4"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","all","WAEC","Polytechnic","148","146","79","28","26","2","2.0","2","67","52","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","disabled","NABTEB","Polytechnic","11","11","6","6","6","0","2.0","0","6","0","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","disabled","NECO","Polytechnic","14","14","7","4","4","0","2.0","0","7","3","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Female","disabled","WAEC","Polytechnic","17","17","8","4","4","0","2.0","0","8","5","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","all","NABTEB","Polytechnic","78","77","41","11","11","0","2.0","1","36","31","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","all","NECO","Polytechnic","161","159","93","28","26","2","2.0","2","66","66","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","all","WAEC","Polytechnic","157","155","84","28","26","2","2.0","2","71","57","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","disabled","NABTEB","Polytechnic","11","11","6","0","0","0","2.0","0","6","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","disabled","NECO","Polytechnic","18","18","10","5","5","0","2.0","0","8","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Community Secondary School, Ankpa I","Male","disabled","WAEC","Polytechnic","20","20","11","4","4","0","2.0","0","9","8","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","all","NABTEB","University","119","117","60","17","11","6","1.8","2","57","43","6"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","all","NECO","University","257","253","142","38","36","2","1.8","4","111","105","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","all","WAEC","University","315","310","165","52","47","6","1.8","5","145","113","6"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","disabled","NABTEB","University","14","14","6","0","0","0","1.8","0","8","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","disabled","NECO","University","27","27","13","0","0","0","1.8","0","14","13","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Female","disabled","WAEC","University","39","38","19","4","4","0","1.8","1","19","15","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","all","NABTEB","University","144","142","80","22","17","5","1.8","2","62","59","5"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","all","NECO","University","301","297","166","38","36","2","1.8","4","131","129","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","all","WAEC","University","424","418","218","61","55","6","1.8","6","200","158","6"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","disabled","NABTEB","University","17","17","9","6","6","0","1.8","0","8","3","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","disabled","NECO","University","35","34","16","0","0","0","1.8","1","18","16","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Comprehensive High School, Ankpa I","Male","disabled","WAEC","University","50","49","25","4","4","0","1.8","1","24","22","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","all","NABTEB","University","72","71","41","11","11","0","1.8","1","30","31","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","all","NECO","University","134","132","76","19","15","4","1.8","2","56","57","4"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","all","WAEC","University","175","172","93","28","26","2","1.8","3","79","65","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","disabled","NABTEB","University","11","11","6","0","0","0","1.8","0","6","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","disabled","NECO","University","14","14","7","0","0","0","1.8","0","7","7","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Female","disabled","WAEC","University","17","17","8","4","4","0","1.8","0","8","5","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","all","NABTEB","University","72","71","38","11","11","0","1.8","1","33","28","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","all","NECO","University","131","129","70","14","10","4","1.8","2","59","56","4"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","all","WAEC","University","163","161","89","24","21","3","1.8","2","72","66","3"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","disabled","NABTEB","University","11","11","6","0","0","0","1.8","0","6","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","disabled","NECO","University","14","14","7","0","0","0","1.8","0","7","7","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Government Secondary School, Ankpa I","Male","disabled","WAEC","University","17","17","8","0","0","0","1.8","0","8","8","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","all","NABTEB","Polytechnic","60","59","32","6","6","0","2.0","1","27","26","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","all","NECO","Polytechnic","108","106","56","14","10","4","2.0","2","50","43","4"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","all","WAEC","Polytechnic","131","129","72","24","21","3","2.0","2","57","49","3"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","disabled","NABTEB","Polytechnic","11","11","6","0","0","0","2.0","0","6","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","disabled","NECO","Polytechnic","11","11","5","0","0","0","2.0","0","6","5","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Female","disabled","WAEC","Polytechnic","14","14","7","4","4","0","2.0","0","7","3","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Male","all","NABTEB","Polytechnic","75","74","41","11","11","0","2.0","1","33","31","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Male","all","NECO","Polytechnic","134","132","67","19","15","4","2.0","2","65","48","4"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Male","all","WAEC","Polytechnic","173","170","96","32","30","2","2.0","3","74","65","2"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Male","disabled","NABTEB","Polytechnic","11","11","6","0","0","0","2.0","0","6","6","0"
"2019/2020","North Central","Kogi","Ankpa","Ankpa I","Unity College, Ankpa","Male","disabled","NECO","Polytechnic","11","11","5","0","0","0","2.0","0","6","5","0"
