"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NABTEB","Polytechnic","106","104","71","30","31","0","2.0","2","33","40","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NECO","Polytechnic","224","221","158","76","67","9","2.0","3","63","83","9"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","WAEC","Polytechnic","248","244","168","70","61","9","2.0","4","76","99","9"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","disabled","NABTEB","Polytechnic","11","11","7","0","0","0","2.0","0","4","7","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","disabled","NECO","Polytechnic","20","20","12","7","8","0","2.0","0","8","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","disabled","WAEC","Polytechnic","24","24","16","6","6","0","2.0","0","8","11","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","all","NABTEB","Polytechnic","121","119","86","31","22","9","2.0","2","33","56","9"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","all","NECO","Polytechnic","248","244","164","76","67","9","2.0","4","80","89","9"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","all","WAEC","Polytechnic","253","249","179","69","61","9","2.0","4","70","109","9"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","disabled","NABTEB","Polytechnic","10","10","6","0","0","0","2.0","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","disabled","NECO","Polytechnic","20","20","12","7","8","0","2.0","0","8","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Male","disabled","WAEC","Polytechnic","25","25","17","6","6","0","2.0","0","8","11","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","all","NABTEB","College of Education","56","55","39","21","22","0","2.1","1","16","19","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","all","NECO","College of Education","95","94","66","23","17","6","2.0","1","28","44","6"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","all","WAEC","College of Education","114","112","75","29","24","5","2.0","2","37","47","5"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","disabled","NABTEB","College of Education","10","10","6","0","0","0","2.1","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","disabled","NECO","College of Education","14","14","9","0","0","0","2.0","0","5","9","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Female","disabled","WAEC","College of Education","16","16","10","6","6","0","2.0","0","6","5","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","all","NABTEB","College of Education","59","58","40","11","11","0","2.1","1","18","29","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","all","NECO","College of Education","122","120","82","30","25","5","2.0","2","38","53","5"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","all","WAEC","College of Education","124","122","86","29","24","5","2.0","2","36","57","5"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","disabled","NABTEB","College of Education","11","11","7","0","0","0","2.1","0","4","7","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","disabled","NECO","College of Education","14","14","9","7","7","0","2.0","0","5","3","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Comprehensive High School, Bahuli","Male","disabled","WAEC","College of Education","16","16","10","6","6","0","2.0","0","6","5","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","all","NABTEB","University","77","76","53","20","21","0","1.8","1","23","32","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","all","NECO","University","149","147","110","53","50","3","1.8","2","37","58","3"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","all","WAEC","University","188","185","123","52","42","10","1.8","3","62","72","10"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","disabled","NECO","University","11","11","9","6","7","0","1.8","0","2","3","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Female","disabled","WAEC","University","14","14","8","6","6","0","1.8","0","6","2","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","all","NABTEB","University","77","76","57","20","21","0","1.8","1","19","36","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","all","NECO","University","140","138","101","38","34","4","1.8","2","37","64","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","all","WAEC","University","195","192","134","46","36","10","1.8","3","58","88","10"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","disabled","NECO","University","11","11","8","6","7","0","1.8","0","3","2","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Government Secondary School, Bahuli","Male","disabled","WAEC","University","14","14","8","0","0","0","1.8","0","6","8","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","all","NABTEB","University","97","96","60","21","22","0","1.8","1","36","40","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","all","NECO","University","177","174","118","38","34","4","1.8","3","56","80","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","all","WAEC","University","222","219","143","52","48","4","1.8","3","76","92","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","disabled","NECO","University","20","20","12","8","8","0","1.8","0","8","5","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Female","disabled","WAEC","University","27","27","16","0","0","0","1.8","0","11","16","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","all","NABTEB","University","106","104","71","21","22","0","1.8","2","33","50","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","all","NECO","University","206","203","129","38","34","4","1.8","3","74","92","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","all","WAEC","University","276","272","188","58","48","10","1.8","4","84","131","10"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","disabled","NABTEB","University","13","13","6","0","0","0","1.8","0","6","6","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","disabled","NECO","University","23","23","15","0","0","0","1.8","0","8","15","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Unity College, Mubi North","Male","disabled","WAEC","University","30","30","19","0","0","0","1.8","0","11","19","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","all","NABTEB","University","66","65","39","11","11","0","1.8","1","26","28","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","all","NECO","University","105","103","70","30","25","5","1.8","2","33","40","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","all","WAEC","University","135","133","89","29","24","5","1.8","2","44","60","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","disabled","NECO","University","14","14","9","7","7","0","1.8","0","5","3","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Female","disabled","WAEC","University","19","19","10","0","0","0","1.8","0","9","10","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","all","NABTEB","University","66","65","42","11","11","0","1.8","1","23","31","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","all","NECO","University","128","126","85","30","25","5","1.8","2","41","56","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","all","WAEC","University","171","168","114","29","24","5","1.8","3","54","85","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","disabled","NECO","University","17","17","9","8","8","0","1.8","0","8","2","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Community Secondary School, Betso","Male","disabled","WAEC","University","22","22","13","0","0","0","1.8","0","9","13","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","all","NABTEB","Polytechnic","52","51","35","11","11","0","2.0","1","16","24","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","all","NECO","Polytechnic","89","88","56","15","17","0","2.0","1","32","42","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","all","WAEC","Polytechnic","118","116","78","23","18","5","2.0","2","38","55","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","disabled","NABTEB","Polytechnic","10","10","6","0","0","0","2.0","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","disabled","NECO","Polytechnic","11","11","6","0","0","0","2.0","0","6","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Female","disabled","WAEC","Polytechnic","14","14","8","0","0","0","2.0","0","6","8","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","all","NABTEB","Polytechnic","61","60","39","11","11","0","2.0","1","21","29","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","all","NECO","Polytechnic","101","100","64","15","17","0","2.0","1","36","49","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","all","WAEC","Polytechnic","127","125","81","29","24","5","2.0","2","44","52","5"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","disabled","NABTEB","Polytechnic","10","10","6","0","0","0","2.0","0","4","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","disabled","NECO","Polytechnic","11","11","6","0","0","0","2.0","0","6","6","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Comprehensive High School, Betso","Male","disabled","WAEC","Polytechnic","14","14","8","6","6","0","2.0","0","6","2","0"
"2019/2020","North East","Adamawa","Mubi North","Betso","Government Secondary School, Betso","Female","all","NABTEB","University","72","71","46","21","22","0","1.8","1","25","26","0"
