"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NABTEB","University","116","114","78","31","29","2","1.8","2","36","48","2"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NECO","University","197","194","122","43","38","5","1.8","3","72","80","5"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","WAEC","University","301","297","208","77","68","9","1.8","4","89","131","9"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NABTEB","University","13","13","7","4","4","0","1.8","0","6","4","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NECO","University","20","20","11","4","4","0","1.8","0","9","8","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","WAEC","University","35","34","23","6","7","0","1.8","1","11","17","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NABTEB","University","145","143","99","35","33","2","1.8","2","44","65","2"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NECO","University","234","231","147","47","42","5","1.8","3","84","101","5"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","WAEC","University","354","349","233","83","74","9","1.8","5","116","151","9"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","disabled","NABTEB","University","13","13","7","4","4","0","1.8","0","6","4","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","disabled","NECO","University","28","28","16","4","4","0","1.8","0","12","13","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","disabled","WAEC","University","38","37","21","6","7","0","1.8","1","16","16","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Comprehensive High School, Abak Urban I","Female","all","NABTEB","Polytechnic","73","72","46","16","13","3","2.0","1","26","30","3"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Comprehensive High School, Abak Urban I","Female","all","NECO","Polytechnic","136","134","83","29","27","2","2.0","2","51","55","2"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Comprehensive High School, Abak Urban I","Female","all","WAEC","Polytechnic","182","179","119","37","32","5","2.0","3","60","82","5"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Comprehensive High School, Abak Urban I","Female","disabled","NABTEB","Polytechnic","8","8","4","3","3","0","2.0","0","4","1","0"
