"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","all","NABTEB","University","71","70","53","22","18","4","1.8","1","17","32","4"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","all","NECO","University","128","126","93","35","29","6","1.8","2","33","59","6"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","all","WAEC","University","157","155","116","48","43","5","1.8","2","39","68","5"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","disabled","NABTEB","University","7","7","4","4","4","0","1.8","0","3","1","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","disabled","NECO","University","14","14","11","3","4","0","1.8","0","3","8","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Female","disabled","WAEC","University","15","15","11","3","4","0","1.8","0","4","8","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","all","NABTEB","University","77","76","56","21","18","4","1.8","1","20","34","4"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","all","NECO","University","171","168","125","42","37","5","1.8","3","43","84","5"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","all","WAEC","University","189","186","135","55","50","5","1.8","3","51","81","5"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","disabled","NABTEB","University","7","7","4","4","4","0","1.8","0","3","1","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","disabled","NECO","University","14","14","11","3","4","0","1.8","0","3","8","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Community Secondary School, Brass I","Male","disabled","WAEC","University","18","18","11","3","4","0","1.8","0","7","9","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Comprehensive High School, Brass I","Female","all","NABTEB","College of Education","71","70","48","13","9","4","2.1","1","22","35","4"
"2019/2020","South South","Bayelsa","Brass","Brass I","Comprehensive High School, Brass I","Female","all","NECO","College of Education","142","140","100","28","26","2","2.0","2","40","72","2"
"2019/2020","South South","Bayelsa","Brass","Brass I","Comprehensive High School, Brass I","Female","all","WAEC","College of Education","174","171","115","38","32","6","2.0","3","56","78","6"
"2019/2020","South South","Bayelsa","Brass","Brass I","Comprehensive High School, Brass I","Female","disabled","NABTEB","College of Education","7","7","4","0","0","0","2.1","0","3","4","0"
"2019/2020","South South","Bayelsa","Brass","Brass I","Comprehensive High School, Brass I","Female","disabled","NECO","College of Education","14","14","8","3","4","0","2.0","0","6","6","0"
