"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","all","NABTEB","College of Education","91","90","68","23","19","4","2.1","1","22","45","4"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","all","NECO","College of Education","194","191","137","39","37","2","2.0","3","54","98","2"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","all","WAEC","College of Education","242","238","167","54","50","4","2.0","4","71","113","4"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","disabled","NABTEB","College of Education","10","10","6","5","5","0","2.1","0","4","1","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","disabled","NECO","College of Education","18","18","10","4","5","0","2.0","0","8","7","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Female","disabled","WAEC","College of Education","22","22","14","4","4","0","2.0","0","8","11","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","all","NABTEB","College of Education","104","102","71","14","9","5","2.1","2","31","57","5"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","all","NECO","College of Education","211","208","140","43","37","6","2.0","3","68","98","6"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","all","WAEC","College of Education","253","249","173","55","47","8","2.0","4","76","118","8"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","disabled","NABTEB","College of Education","11","11","8","0","0","0","2.1","0","3","8","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","disabled","NECO","College of Education","18","18","10","4","5","0","2.0","0","8","7","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Community Secondary School, Barakin Ladi","Male","disabled","WAEC","College of Education","25","25","14","4","4","0","2.0","0","11","11","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Comprehensive High School, Barakin Ladi","Female","all","NABTEB","University","55","54","37","14","14","0","1.8","1","17","23","0"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Comprehensive High School, Barakin Ladi","Female","all","NECO","University","97","96","68","26","23","3","1.8","1","28","42","3"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Comprehensive High School, Barakin Ladi","Female","all","WAEC","University","116","114","87","37","31","6","1.8","2","27","51","6"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Comprehensive High School, Barakin Ladi","Female","disabled","NABTEB","University","8","8","5","4","3","1","1.8","0","3","1","1"
"2019/2020","North Central","Plateau","Barkin Ladi","Barakin Ladi","Comprehensive High School, Barakin Ladi","Female","disabled","NECO","University","10","10","5","4","4","0","1.8","0","5","2","0"
