"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","all","NABTEB","Polytechnic","109","107","74","26","19","7","2.0","2","33","49","7"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","all","NECO","Polytechnic","215","212","157","47","38","9","2.0","3","55","110","9"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","all","WAEC","Polytechnic","283","279","201","66","60","6","2.0","4","78","135","6"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","disabled","NABTEB","Polytechnic","11","11","6","6","6","0","2.0","0","5","1","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","disabled","NECO","Polytechnic","19","19","13","0","0","0","2.0","0","6","13","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Female","disabled","WAEC","Polytechnic","27","27","18","5","5","0","2.0","0","9","13","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","all","NABTEB","Polytechnic","126","124","86","26","19","7","2.0","2","38","60","7"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","all","NECO","Polytechnic","243","239","171","47","43","4","2.0","4","68","124","4"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","all","WAEC","Polytechnic","314","309","221","61","55","6","2.0","5","88","160","6"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","disabled","NABTEB","Polytechnic","11","11","6","0","0","0","2.0","0","5","6","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","disabled","NECO","Polytechnic","19","19","13","5","5","0","2.0","0","6","9","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Community Secondary School, Ago Oko","Male","disabled","WAEC","Polytechnic","31","31","21","5","5","0","2.0","0","10","16","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","all","NABTEB","College of Education","124","122","93","45","39","6","2.1","2","29","49","6"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","all","NECO","College of Education","278","274","198","83","76","7","2.0","4","76","116","7"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","all","WAEC","College of Education","322","317","228","84","76","8","2.0","5","89","144","8"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","disabled","NABTEB","College of Education","11","11","6","6","6","0","2.1","0","5","1","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","disabled","NECO","College of Education","19","19","13","5","5","0","2.0","0","6","9","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Female","disabled","WAEC","College of Education","24","24","18","5","5","0","2.0","0","6","13","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","all","NABTEB","College of Education","124","122","86","32","26","6","2.1","2","36","55","6"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","all","NECO","College of Education","265","261","187","73","65","8","2.0","4","74","115","8"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","all","WAEC","College of Education","285","281","212","84","76","8","2.0","4","69","129","8"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","disabled","NABTEB","College of Education","11","11","6","6","6","0","2.1","0","5","1","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","disabled","NECO","College of Education","19","19","13","5","5","0","2.0","0","6","9","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Comprehensive High School, Ago Oko","Male","disabled","WAEC","College of Education","21","21","14","5","5","0","2.0","0","7","10","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","all","NABTEB","University","75","74","52","19","19","0","1.8","1","22","34","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","all","NECO","University","145","143","95","31","27","4","1.8","2","48","65","4"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","all","WAEC","University","167","165","117","37","35","2","1.8","2","48","80","2"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","disabled","NABTEB","University","11","11","6","6","6","0","1.8","0","5","1","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","disabled","NECO","University","15","15","9","5","5","0","1.8","0","6","5","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Female","disabled","WAEC","University","18","18","11","5","5","0","1.8","0","7","7","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Male","all","NABTEB","University","90","89","59","13","13","0","1.8","1","30","46","0"
"2019/2020","South West","Ogun","Abeokuta North","Ago Oko","Government Secondary School, Ago Oko","Male","all","NECO","University","158","156","102","31","27","4","1.8","2","54","72","4"
