"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South East","Enugu","Aninri","Mpu","CENTRAL SCHOOL, MPU","Female","all","NABTEB","University","36","36","20","7","5","2","1.8","0","16","13","2"
"2019/2020","South East","Enugu","Aninri","Mpu","COMMAND SCIENCE AND TECHNICAL SCHOOL MPU","Female","all","NECO","University","173","170","99","38","32","6","1.8","3","71","61","6"
"2019/2020","South East","Enugu","Aninri","Mpu","COMMUNITY SCHOOL, EZINATO OHOFIA","Female","all","WAEC","University","227","224","127","42","36","6","1.8","3","97","85","6"
"2019/2020","South East","Enugu","Aninri","Mpu","COMMUNITY SCHOOL, MPU","Female","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","1","0"
"2019/2020","South East","Enugu","Aninri","Mpu","COMMUNITY SECONDARY SCHOOL, MPU","Female","disabled","NECO","University","20","20","10","4","4","0","1.8","0","10","6","0"
"2019/2020","South East","Enugu","Aninri","Mpu","GLORIOUS GRACE ACADEMY PRIMARY SCHOOL, AMAGU MPU","Female","disabled","WAEC","University","30","30","15","3","3","0","1.8","0","15","12","0"
"2019/2020","South East","Enugu","Aninri","Mpu","HOLY CHILD NURSERY AND PRIMARY SCHOOL MPU","Male","all","NABTEB","University","105","103","53","17","13","4","1.8","2","50","36","4"
"2019/2020","South East","Enugu","Aninri","Mpu","KINGS FOUNDATION SECONDARY SCHOOL, MPU","Male","all","NECO","University","193","190","109","38","36","2","1.8","3","81","71","2"
"2019/2020","South East","Enugu","Aninri","Mpu","LIBERTY PRIMARY SCHOOL, AGUENYI MPU","Male","all","WAEC","University","267","263","142","49","43","6","1.8","4","121","93","6"
"2019/2020","South East","Enugu","Aninri","Mpu","MODEL SECONDARY SCHOOL, MPU","Male","disabled","NABTEB","University","13","13","5","4","4","0","1.8","0","8","1","0"
"2019/2020","South East","Enugu","Aninri","Mpu","OUR SAVIOUR SECONDARY SCHOOL, EZZA MPU","Male","disabled","NECO","University","23","23","12","4","4","0","1.8","0","11","8","0"
"2019/2020","South East","Enugu","Aninri","Mpu","Our Saviour Primary School","Male","disabled","WAEC","University","33","33","17","3","3","0","1.8","0","16","14","0"
"2019/2020","South East","Enugu","Aninri","Mpu","POWER HOUSE NURSERY AND PRIMARY SCHOOL UBEAGU MPU","Female","all","NABTEB","College of Education","96","95","53","17","13","4","2.1","1","42","36","4"
"2019/2020","South East","Enugu","Aninri","Mpu","PRESBYTERIAN MODERN ACADEMY MPU","Female","all","NECO","College of Education","190","187","104","42","36","6","2.0","3","83","62","6"
"2019/2020","South East","Enugu","Aninri","Mpu","PST NATH GLORIOUS BY GRACE ACADAMY AMAGU MPU","Female","all","WAEC","College of Education","267","263","151","52","47","5","2.0","4","112","99","5"
"2019/2020","South East","Enugu","Aninri","Mpu","TOTAL CHILD INTERNATIONAL NURSERY AND PRIMARY SCHOOL AMAGU MPU","Female","disabled","NABTEB","College of Education","10","10","5","4","4","0","2.1","0","5","1","0"
