session,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count
2022/2023,all,NABTEB,235392,172276,170330,63868,71349,65558
2022/2023,all,NECO,758466,510831,548851,205819,229906,211234
2022/2023,all,WAEC,1621542,1169457,1173419,440029,491545,451608
2022/2023,disabled,NABTEB,15300,11194,11064,4137,4627,4256
2022/2023,disabled,NECO,49296,33205,35669,13374,14924,13742
2022/2023,disabled,WAEC,105411,76013,76265,28595,31936,29354
2023/2024,all,NABTEB,244331,178825,177875,66693,76156,70164
2023/2024,all,NECO,787317,530251,573178,214953,245397,226094
2023/2024,all,WAEC,1683252,1213967,1225447,459541,524647,483342
2023/2024,disabled,NABTEB,15882,11632,11565,4341,4943,4559
2023/2024,disabled,NECO,51186,34462,37245,13983,15959,14690
2023/2024,disabled,WAEC,109411,78901,79636,29873,34098,31421
2024/2025,all,NABTEB,256167,187481,185823,69689,78972,72648
2024/2025,all,NECO,825428,555919,598730,224520,254471,234121
2024/2025,all,WAEC,1764705,1272702,1280047,480030,544057,500531
2024/2025,disabled,NABTEB,16644,12172,12068,4532,5127,4705
2024/2025,disabled,NECO,53653,36121,38926,14595,16545,15217
2024/2025,disabled,WAEC,114704,82717,83198,31218,35367,32527
