ZONE,STATE,LGA
SOUTH-WEST,LAGOS,AGEGE
SOUTH-WEST,LAGOS,AJEROMI-IFELODUN
SOUTH-WEST,LAGOS,ALIMOSHO
SOUTH-WEST,LAGOS,AMUWO-ODOFIN
SOUTH-WEST,LAGOS,APAPA
SOUTH-WEST,LAGOS,BADAGRY
SOUTH-WEST,LAGOS,EPE
SOUTH-WEST,LAGOS,ETI-OSA
SOUTH-WEST,LAGOS,IBEJU-LEKKI
SOUTH-WEST,LAGOS,IFAKO-IJAIYE
SOUTH-WEST,LAGOS,IKEJA
SOUTH-WEST,LAGOS,IKORODU
SOUTH-WEST,LAGOS,KOSOFE
SOUTH-WEST,LAGOS,LAGOS ISLAND
SOUTH-WEST,LAGOS,LAGOS MAINLAND
SOUTH-WEST,LAGOS,MUSHIN
SOUTH-WEST,LAGOS,OJO
SOUTH-WEST,LAGOS,OSHODI-ISOLO
SOUTH-WEST,LAGOS,SHOMOLU
SOUTH-WEST,LAGOS,SURULERE
SOUTH-WEST,OYO,AFIJIO
SOUTH-WEST,OYO,AKINYELE
SOUTH-WEST,OYO,ATIBA
SOUTH-WEST,OYO,ATISBO
SOUTH-WEST,OYO,EGBEDA
SOUTH-WEST,OYO,IBADAN NORTH
SOUTH-WEST,OYO,IBADAN NORTH-EAST
SOUTH-WEST,OYO,IBADAN NORTH-WEST
SOUTH-WEST,OYO,IBADAN SOUTH-EAST
SOUTH-WEST,OYO,IBADAN SOUTH-WEST
SOUTH-WEST,OYO,IBARAPA CENTRAL
SOUTH-WEST,OYO,IBARAPA EAST
SOUTH-WEST,OYO,IBARAPA NORTH
SOUTH-WEST,OYO,IDO
SOUTH-WEST,OYO,IREPO
SOUTH-WEST,OYO,ISEYIN
SOUTH-WEST,OYO,ITESIWAJU
SOUTH-WEST,OYO,IWAJOWA
SOUTH-WEST,OYO,KAJOLA
SOUTH-WEST,OYO,LAGELU
SOUTH-WEST,OYO,OGBOMOSHO NORTH
SOUTH-WEST,OYO,OGBOMOSHO SOUTH
SOUTH-WEST,OYO,OGO OLUWA
SOUTH-WEST,OYO,OLORUNSOGO
SOUTH-WEST,OYO,OLUYOLE
SOUTH-WEST,OYO,ONA-ARA
SOUTH-WEST,OYO,ORELOPE
SOUTH-WEST,OYO,ORIRE
SOUTH-WEST,OYO,OYO EAST
SOUTH-WEST,OYO,OYO WEST
SOUTH-WEST,OYO,SAKI EAST
SOUTH-WEST,OYO,SAKI WEST
SOUTH-WEST,OYO,SURULERE
SOUTH-WEST,OGUN,ABEOKUTA NORTH
SOUTH-WEST,OGUN,ABEOKUTA SOUTH
SOUTH-WEST,OGUN,ADO-ODO/OTA
SOUTH-WEST,OGUN,EWEKORO
SOUTH-WEST,OGUN,IFO
SOUTH-WEST,OGUN,IJEBU EAST
SOUTH-WEST,OGUN,IJEBU NORTH
SOUTH-WEST,OGUN,IJEBU NORTH-EAST
SOUTH-WEST,OGUN,IJEBU ODE
SOUTH-WEST,OGUN,IKENNE
SOUTH-WEST,OGUN,IMEKO-AFON
SOUTH-WEST,OGUN,IPOKIA
SOUTH-WEST,OGUN,OBAFEMI-OWODE
SOUTH-WEST,OGUN,ODEDA
SOUTH-WEST,OGUN,ODOGBOLU
SOUTH-WEST,OGUN,OGUN WATERSIDE
SOUTH-WEST,OGUN,REMO NORTH
SOUTH-WEST,OGUN,SAGAMU
SOUTH-WEST,OGUN,YEWA NORTH
SOUTH-WEST,OGUN,YEWA SOUTH
SOUTH-WEST,OSUN,AIYEDAADE
SOUTH-WEST,OSUN,AIYEDIRE
SOUTH-WEST,OSUN,ATAKUNMOSA EAST
SOUTH-WEST,OSUN,ATAKUNMOSA WEST
SOUTH-WEST,OSUN,BOLUWADURO
SOUTH-WEST,OSUN,BORIPE
SOUTH-WEST,OSUN,EDE NORTH
SOUTH-WEST,OSUN,EDE SOUTH
SOUTH-WEST,OSUN,EGBEDORE
SOUTH-WEST,OSUN,EJIGBO
SOUTH-WEST,OSUN,IFE CENTRAL
SOUTH-WEST,OSUN,IFE EAST
SOUTH-WEST,OSUN,IFE NORTH
SOUTH-WEST,OSUN,IFE SOUTH
SOUTH-WEST,OSUN,IFEDAYO
SOUTH-WEST,OSUN,IFELODUN
SOUTH-WEST,OSUN,ILA
SOUTH-WEST,OSUN,ILESA EAST
SOUTH-WEST,OSUN,ILESA WEST
SOUTH-WEST,OSUN,IREPODUN
SOUTH-WEST,OSUN,ISOKAN
SOUTH-WEST,OSUN,IWO
SOUTH-WEST,OSUN,OBOKUN
SOUTH-WEST,OSUN,ODO-OTIN
SOUTH-WEST,OSUN,OLA-OLUWA
SOUTH-WEST,OSUN,OLORUNDA
SOUTH-WEST,OSUN,ORIADE
SOUTH-WEST,OSUN,OROLU
SOUTH-WEST,OSUN,OSOGBO
SOUTH-WEST,OSUN,BORIPE-IKOYI
SOUTH-WEST,ONDO,AKOKO NORTH-EAST
SOUTH-WEST,ONDO,AKOKO NORTH-WEST
SOUTH-WEST,ONDO,AKOKO SOUTH-EAST
SOUTH-WEST,ONDO,AKOKO SOUTH-WEST
SOUTH-WEST,ONDO,AKURE NORTH
SOUTH-WEST,ONDO,AKURE SOUTH
SOUTH-WEST,ONDO,ESE-ODO
SOUTH-WEST,ONDO,IDANRE
SOUTH-WEST,ONDO,IFEDORE
SOUTH-WEST,ONDO,ILAJE
SOUTH-WEST,ONDO,ILE-OLUJI/OKEIGBO
SOUTH-WEST,ONDO,IRELE
SOUTH-WEST,ONDO,ODIGBO
SOUTH-WEST,ONDO,OKITIPUPA
SOUTH-WEST,ONDO,ONDO EAST
SOUTH-WEST,ONDO,ONDO WEST
SOUTH-WEST,ONDO,OSE
SOUTH-WEST,ONDO,OWO
SOUTH-WEST,EKITI,ADO-EKITI
SOUTH-WEST,EKITI,EFON
SOUTH-WEST,EKITI,EKITI EAST
SOUTH-WEST,EKITI,EKITI SOUTH-WEST
SOUTH-WEST,EKITI,EKITI WEST
SOUTH-WEST,EKITI,EMURE
SOUTH-WEST,EKITI,GBONYIN
SOUTH-WEST,EKITI,IDO-OSI
SOUTH-WEST,EKITI,IJERO
SOUTH-WEST,EKITI,IKERE
SOUTH-WEST,EKITI,IKOLE
SOUTH-WEST,EKITI,ILEJEMEJE
SOUTH-WEST,EKITI,IREPODUN/IFELODUN
SOUTH-WEST,EKITI,ISE/ORUN
SOUTH-WEST,EKITI,MOBA
SOUTH-WEST,EKITI,OYE
SOUTH-EAST,ANAMBRA,AGUATA
SOUTH-EAST,ANAMBRA,ANAMBRA EAST
SOUTH-EAST,ANAMBRA,ANAMBRA WEST
SOUTH-EAST,ANAMBRA,ANAOCHA
SOUTH-EAST,ANAMBRA,AWKA NORTH
SOUTH-EAST,ANAMBRA,AWKA SOUTH
SOUTH-EAST,ANAMBRA,AYAMELUM
SOUTH-EAST,ANAMBRA,DUNUKOFIA
SOUTH-EAST,ANAMBRA,EKWUSIGO
